"grouping_var","Noise_Proc","balanced_accuracy","bal_acc_p","bal_acc_p_adj","Method"
"ctx-lh-isthmuscingulate","AROMA+2P",66.86,"1.40e-05","6.89e-04","i: ROI-wise"
"ctx-lh-lateralorbitofrontal","AROMA+2P",63.71,"1.76e-04","4.87e-03","i: ROI-wise"
"ctx-rh-lateralorbitofrontal","AROMA+2P",63,"6.77e-04","8.33e-03","i: ROI-wise"
"ctx-lh-inferiortemporal","AROMA+2P",62.42,"6.77e-04","8.33e-03","i: ROI-wise"
"ctx-lh-medialorbitofrontal","AROMA+2P",62.04,"6.77e-04","8.33e-03","i: ROI-wise"
"ctx-lh-insula","AROMA+2P",61.25,"2.20e-03","1.87e-02","i: ROI-wise"
"ctx-lh-postcentral","AROMA+2P",60.74,"2.20e-03","1.87e-02","i: ROI-wise"
"ctx-lh-fusiform","AROMA+2P",60.38,"6.26e-03","3.21e-02","i: ROI-wise"
"ctx-lh-parahippocampal","AROMA+2P",59.86,"6.26e-03","3.21e-02","i: ROI-wise"
"Right-Pallidum","AROMA+2P",59.83,"6.26e-03","3.21e-02","i: ROI-wise"
"ctx-rh-entorhinal","AROMA+2P",59.49,"6.26e-03","3.21e-02","i: ROI-wise"
"ctx-rh-postcentral","AROMA+2P",59.32,"6.26e-03","3.21e-02","i: ROI-wise"
"ctx-lh-temporalpole","AROMA+2P",59.03,"6.26e-03","3.21e-02","i: ROI-wise"
"ctx-lh-bankssts","AROMA+2P",58.4,"1.61e-02","6.18e-02","i: ROI-wise"
"ctx-lh-cuneus","AROMA+2P",58.21,"1.61e-02","6.18e-02","i: ROI-wise"
"ctx-rh-isthmuscingulate","AROMA+2P",58.17,"1.61e-02","6.18e-02","i: ROI-wise"
"ctx-rh-lateraloccipital","AROMA+2P",58.11,"1.61e-02","6.18e-02","i: ROI-wise"
"ctx-rh-supramarginal","AROMA+2P",58.08,"1.61e-02","6.18e-02","i: ROI-wise"
"Right-Accumbens-area","AROMA+2P",57.61,"1.61e-02","6.18e-02","i: ROI-wise"
"ctx-rh-superiorparietal","AROMA+2P",57.41,"3.71e-02","1.03e-01","i: ROI-wise"
"ctx-rh-parstriangularis","AROMA+2P",57.38,"3.71e-02","1.03e-01","i: ROI-wise"
"ctx-rh-transversetemporal","AROMA+2P",57.24,"3.71e-02","1.03e-01","i: ROI-wise"
"ctx-rh-caudalanteriorcingulate","AROMA+2P",57.08,"3.71e-02","1.03e-01","i: ROI-wise"
"ctx-rh-insula","AROMA+2P",57.08,"3.71e-02","1.03e-01","i: ROI-wise"
"ctx-lh-rostralanteriorcingulate","AROMA+2P",56.5,"3.71e-02","1.03e-01","i: ROI-wise"
"ctx-rh-middletemporal","AROMA+2P",55.95,"7.73e-02","1.79e-01","i: ROI-wise"
"ctx-rh-precuneus","AROMA+2P",55.75,"7.73e-02","1.79e-01","i: ROI-wise"
"ctx-rh-superiorfrontal","AROMA+2P",55.45,"7.73e-02","1.79e-01","i: ROI-wise"
