"grouping_var","Noise_Proc","balanced_accuracy","bal_acc_p","bal_acc_p_adj","Method"
"ctx-lh-isthmuscingulate","AROMA+2P",63.44,NA,NA,"i: ROI-wise"
"ctx-lh-parahippocampal","AROMA+2P",62.4,NA,NA,"i: ROI-wise"
"ctx-lh-postcentral","AROMA+2P",61.48,NA,NA,"i: ROI-wise"
"ctx-rh-lateraloccipital","AROMA+2P",61.39,NA,NA,"i: ROI-wise"
"ctx-rh-lateralorbitofrontal","AROMA+2P",60.72,NA,NA,"i: ROI-wise"
"ctx-lh-fusiform","AROMA+2P",60.59,NA,NA,"i: ROI-wise"
"ctx-lh-insula","AROMA+2P",60.41,NA,NA,"i: ROI-wise"
"ctx-lh-bankssts","AROMA+2P",60.32,NA,NA,"i: ROI-wise"
"Right-Accumbens-area","AROMA+2P",59.87,NA,NA,"i: ROI-wise"
"ctx-rh-postcentral","AROMA+2P",59.48,NA,NA,"i: ROI-wise"
"ctx-rh-precuneus","AROMA+2P",58.92,NA,NA,"i: ROI-wise"
"ctx-lh-lateraloccipital","AROMA+2P",58.79,NA,NA,"i: ROI-wise"
"ctx-rh-posteriorcingulate","AROMA+2P",58.64,NA,NA,"i: ROI-wise"
"ctx-lh-inferiortemporal","AROMA+2P",58.58,NA,NA,"i: ROI-wise"
"ctx-lh-lateralorbitofrontal","AROMA+2P",58.58,NA,NA,"i: ROI-wise"
"ctx-lh-rostralanteriorcingulate","AROMA+2P",58.15,NA,NA,"i: ROI-wise"
"ctx-lh-caudalanteriorcingulate","AROMA+2P",57.64,NA,NA,"i: ROI-wise"
"ctx-rh-rostralmiddlefrontal","AROMA+2P",57.48,NA,NA,"i: ROI-wise"
"ctx-lh-superiortemporal","AROMA+2P",57.39,NA,NA,"i: ROI-wise"
"ctx-rh-superiorparietal","AROMA+2P",57.24,NA,NA,"i: ROI-wise"
"ctx-lh-superiorparietal","AROMA+2P",56.9,NA,NA,"i: ROI-wise"
"ctx-rh-middletemporal","AROMA+2P",56.73,NA,NA,"i: ROI-wise"
"ctx-lh-temporalpole","AROMA+2P",56.66,NA,NA,"i: ROI-wise"
"ctx-lh-middletemporal","AROMA+2P",56.38,NA,NA,"i: ROI-wise"
"ctx-rh-insula","AROMA+2P",56.33,NA,NA,"i: ROI-wise"
"ctx-lh-rostralmiddlefrontal","AROMA+2P",56.03,NA,NA,"i: ROI-wise"
"ctx-rh-transversetemporal","AROMA+2P",55.53,NA,NA,"i: ROI-wise"
"Right-Pallidum","AROMA+2P",55.37,NA,NA,"i: ROI-wise"
"ctx-lh-paracentral","AROMA+2P",55.24,NA,NA,"i: ROI-wise"
"ctx-rh-medialorbitofrontal","AROMA+2P",55.12,NA,NA,"i: ROI-wise"
"ctx-lh-medialorbitofrontal","AROMA+2P",55.08,NA,NA,"i: ROI-wise"
"Left-Pallidum","AROMA+2P",54.65,NA,NA,"i: ROI-wise"
"ctx-rh-paracentral","AROMA+2P",54.5,NA,NA,"i: ROI-wise"
"Right-Amygdala","AROMA+2P",54.42,NA,NA,"i: ROI-wise"
"ctx-rh-isthmuscingulate","AROMA+2P",54.29,NA,NA,"i: ROI-wise"
"ctx-rh-parstriangularis","AROMA+2P",54.25,NA,NA,"i: ROI-wise"
"ctx-rh-frontalpole","AROMA+2P",54.24,NA,NA,"i: ROI-wise"
"ctx-rh-entorhinal","AROMA+2P",54.11,NA,NA,"i: ROI-wise"
"ctx-rh-caudalanteriorcingulate","AROMA+2P",54.07,NA,NA,"i: ROI-wise"
"ctx-rh-supramarginal","AROMA+2P",53.99,NA,NA,"i: ROI-wise"
"ctx-rh-inferiorparietal","AROMA+2P",53.7,NA,NA,"i: ROI-wise"
"ctx-lh-precuneus","AROMA+2P",53.61,NA,NA,"i: ROI-wise"
"ctx-rh-lingual","AROMA+2P",53.58,NA,NA,"i: ROI-wise"
"Left-Hippocampus","AROMA+2P",53.52,NA,NA,"i: ROI-wise"
"ctx-rh-temporalpole","AROMA+2P",53.45,NA,NA,"i: ROI-wise"
"ctx-lh-cuneus","AROMA+2P",53.33,NA,NA,"i: ROI-wise"
"ctx-rh-bankssts","AROMA+2P",53.2,NA,NA,"i: ROI-wise"
"ctx-lh-inferiorparietal","AROMA+2P",53.15,NA,NA,"i: ROI-wise"
"Right-Putamen","AROMA+2P",53.07,NA,NA,"i: ROI-wise"
"ctx-rh-superiorfrontal","AROMA+2P",52.98,NA,NA,"i: ROI-wise"
"ctx-lh-superiorfrontal","AROMA+2P",52.61,NA,NA,"i: ROI-wise"
"Right-Caudate","AROMA+2P",52.23,NA,NA,"i: ROI-wise"
"ctx-rh-parsorbitalis","AROMA+2P",52.18,NA,NA,"i: ROI-wise"
"ctx-lh-entorhinal","AROMA+2P",51.59,NA,NA,"i: ROI-wise"
"ctx-lh-frontalpole","AROMA+2P",51.37,NA,NA,"i: ROI-wise"
"ctx-rh-pericalcarine","AROMA+2P",50.75,NA,NA,"i: ROI-wise"
"ctx-lh-caudalmiddlefrontal","AROMA+2P",50.65,NA,NA,"i: ROI-wise"
"Left-Thalamus-Proper","AROMA+2P",50.33,NA,NA,"i: ROI-wise"
"ctx-lh-lingual","AROMA+2P",50.26,NA,NA,"i: ROI-wise"
"ctx-rh-cuneus","AROMA+2P",50.03,NA,NA,"i: ROI-wise"
"ctx-lh-supramarginal","AROMA+2P",49.33,NA,NA,"i: ROI-wise"
"Right-Hippocampus","AROMA+2P",49.11,NA,NA,"i: ROI-wise"
"ctx-lh-pericalcarine","AROMA+2P",49.06,NA,NA,"i: ROI-wise"
"Left-Amygdala","AROMA+2P",48.73,NA,NA,"i: ROI-wise"
"ctx-lh-parstriangularis","AROMA+2P",48.66,NA,NA,"i: ROI-wise"
"Right-Thalamus-Proper","AROMA+2P",48.33,NA,NA,"i: ROI-wise"
"ctx-rh-rostralanteriorcingulate","AROMA+2P",47.71,NA,NA,"i: ROI-wise"
"ctx-lh-precentral","AROMA+2P",47.46,NA,NA,"i: ROI-wise"
"ctx-lh-parsopercularis","AROMA+2P",47.32,NA,NA,"i: ROI-wise"
"ctx-rh-parahippocampal","AROMA+2P",47.03,NA,NA,"i: ROI-wise"
"ctx-rh-precentral","AROMA+2P",46.99,NA,NA,"i: ROI-wise"
"Left-Putamen","AROMA+2P",46.98,NA,NA,"i: ROI-wise"
"ctx-rh-parsopercularis","AROMA+2P",46.78,NA,NA,"i: ROI-wise"
"ctx-rh-superiortemporal","AROMA+2P",46.4,NA,NA,"i: ROI-wise"
"Left-Accumbens-area","AROMA+2P",46.27,NA,NA,"i: ROI-wise"
"ctx-rh-fusiform","AROMA+2P",46.2,NA,NA,"i: ROI-wise"
"ctx-lh-posteriorcingulate","AROMA+2P",46.14,NA,NA,"i: ROI-wise"
"ctx-lh-parsorbitalis","AROMA+2P",45.09,NA,NA,"i: ROI-wise"
"Left-Caudate","AROMA+2P",44.82,NA,NA,"i: ROI-wise"
"ctx-rh-caudalmiddlefrontal","AROMA+2P",43.08,NA,NA,"i: ROI-wise"
"ctx-rh-inferiortemporal","AROMA+2P",42.81,NA,NA,"i: ROI-wise"
"ctx-lh-transversetemporal","AROMA+2P",42.7,NA,NA,"i: ROI-wise"
