"grouping_var","Noise_Proc","balanced_accuracy","bal_acc_p","bal_acc_p_adj","Method"
"SB_MotifThree_quantile_hh","AROMA+2P",61.53,"2.20e-03","4.84e-02","ii: Feature-wise"
"FC_LocalSimple_mean1_tauresrat","AROMA+2P",59.77,"6.26e-03","5.90e-02","ii: Feature-wise"
"SP_Summaries_welch_rect_centroid","AROMA+2P",58.83,"1.61e-02","8.84e-02","ii: Feature-wise"
"IN_AutoMutualInfoStats_40_gaussian_fmmi","AROMA+2P",57.28,"3.71e-02","1.29e-01","ii: Feature-wise"
"SP_Summaries_welch_rect_area_5_1","AROMA+2P",56.95,"3.71e-02","1.29e-01","ii: Feature-wise"
"FC_LocalSimple_mean3_stderr","AROMA+2P",56.83,"3.71e-02","1.29e-01","ii: Feature-wise"
"PD_PeriodicityWang_th0_01","AROMA+2P",53.38,"1.44e-01","2.97e-01","ii: Feature-wise"
"CO_FirstMin_ac","AROMA+2P",52.96,"2.42e-01","4.00e-01","ii: Feature-wise"
"DN_HistogramMode_5","AROMA+2P",52.39,"2.42e-01","4.00e-01","ii: Feature-wise"
"SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1","AROMA+2P",52.36,"2.42e-01","4.00e-01","ii: Feature-wise"
"CO_trev_1_num","AROMA+2P",51.11,"3.69e-01","5.42e-01","ii: Feature-wise"
"SB_BinaryStats_mean_longstretch1","AROMA+2P",50.89,"3.69e-01","5.42e-01","ii: Feature-wise"
"DN_OutlierInclude_n_001_mdrmd","AROMA+2P",50.4,"5.13e-01","6.64e-01","ii: Feature-wise"
"DN_OutlierInclude_p_001_mdrmd","AROMA+2P",50.2,"5.13e-01","6.64e-01","ii: Feature-wise"
"CO_f1ecac","AROMA+2P",48.94,"6.57e-01","7.47e-01","ii: Feature-wise"
"CO_HistogramAMI_even_2_5","AROMA+2P",48.89,"6.57e-01","7.47e-01","ii: Feature-wise"
"DN_HistogramMode_10","AROMA+2P",47.95,"6.57e-01","7.47e-01","ii: Feature-wise"
"SB_BinaryStats_diff_longstretch0","AROMA+2P",47.75,"6.57e-01","7.47e-01","ii: Feature-wise"
"MD_hrv_classic_pnn40","AROMA+2P",47.37,"7.82e-01","8.60e-01","ii: Feature-wise"
"SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1","AROMA+2P",45.54,"8.76e-01","9.18e-01","ii: Feature-wise"
"SB_TransitionMatrix_3ac_sumdiagcov","AROMA+2P",45.16,"8.76e-01","9.18e-01","ii: Feature-wise"
"CO_Embed2_Dist_tau_d_expfit_meandiff","AROMA+2P",44.69,"9.38e-01","9.67e-01","ii: Feature-wise"
