SPI,Direction
cov_EmpiricalCovariance,Undirected
dtw_constraint-itakura,Undirected
bary_dtw_mean,Undirected
anm,Directed
di_gaussian,Directed
te_kraskov_NN-4_DCE_k-max-10_tau-max-4,Directed
phi_star_t-1_norm-0,Undirected
cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,Undirected
psi_multitaper_mean_fs-1_fmin-0_fmax-0-5,Directed
pli_multitaper_max_fs-1_fmin-0_fmax-0-5,Directed
sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,Directed
psi_wavelet_mean_fs-1_fmin-0_fmax-0-5_mean,Directed
coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,Undirected
pec,Undirected
