from,to
Origin,Cingulate
Origin,Frontal
Origin,Insula
Origin,Occipital
Origin,Parietal
Origin,Temporal
Cingulate,caudalanteriorcingulate
Cingulate,isthmuscingulate
Cingulate,posteriorcingulate
Cingulate,rostralanteriorcingulate
Cingulate,caudalanteriorcingulate
Cingulate,isthmuscingulate
Cingulate,posteriorcingulate
Cingulate,rostralanteriorcingulate
Frontal,paracentral
Frontal,precentral
Frontal,superiorfrontal
Frontal,paracentral
Frontal,precentral
Frontal,superiorfrontal
Frontal,middlefr
Frontal,orbitofr
Frontal,parsfr
Frontal,middlefr
Frontal,orbitofr
Frontal,parsfr
Insula,insula
Insula,insula
Occipital,cuneus
Occipital,lateraloccipital
Occipital,lingual
Occipital,pericalcarine
Occipital,cuneus
Occipital,lateraloccipital
Occipital,lingual
Occipital,pericalcarine
Parietal,inferiorparietal
Parietal,postcentral
Parietal,precuneus
Parietal,superiorparietal
Parietal,supramarginal
Parietal,inferiorparietal
Parietal,postcentral
Parietal,precuneus
Parietal,superiorparietal
Parietal,supramarginal
Temporal,bankssts
Temporal,entorhinal
Temporal,fusiform
Temporal,inferiortemporal
Temporal,middletemporal
Temporal,parahippocampal
Temporal,superiortemporal
Temporal,temporalpole
Temporal,transversetemporal
Temporal,bankssts
Temporal,entorhinal
Temporal,fusiform
Temporal,inferiortemporal
Temporal,middletemporal
Temporal,parahippocampal
Temporal,superiortemporal
Temporal,temporalpole
Temporal,transversetemporal
Temporal,amygdala
Temporal,hippocampus
Temporal,amygdala
Temporal,hippocampus
