Index,Brain_Region,label,Cortex
1,ctx-lh-bankssts,lh_bankssts,Temporal
2,ctx-lh-caudalanteriorcingulate,lh_caudalanteriorcingulate,Cingulate
3,ctx-lh-caudalmiddlefrontal,lh_caudalmiddlefrontal,Frontal
4,ctx-lh-cuneus,lh_cuneus,Occipital
5,ctx-lh-entorhinal,lh_entorhinal,Temporal
6,ctx-lh-fusiform,lh_fusiform,Occipital
7,ctx-lh-inferiorparietal,lh_inferiorparietal,Parietal
8,ctx-lh-inferiortemporal,lh_inferiortemporal,Temporal
9,ctx-lh-isthmuscingulate,lh_isthmuscingulate,Cingulate
10,ctx-lh-lateraloccipital,lh_lateraloccipital,Occipital
11,ctx-lh-lateralorbitofrontal,lh_lateralorbitofrontal,Frontal
12,ctx-lh-lingual,lh_lingual,Occipital
13,ctx-lh-medialorbitofrontal,lh_medialorbitofrontal,Frontal
14,ctx-lh-middletemporal,lh_middletemporal,Temporal
15,ctx-lh-parahippocampal,lh_parahippocampal,Temporal
16,ctx-lh-paracentral,lh_paracentral,Frontal
17,ctx-lh-parsopercularis,lh_parsopercularis,Frontal
18,ctx-lh-parsorbitalis,lh_parsorbitalis,Frontal
19,ctx-lh-parstriangularis,lh_parstriangularis,Frontal
20,ctx-lh-pericalcarine,lh_pericalcarine,Occipital
21,ctx-lh-postcentral,lh_postcentral,Parietal
22,ctx-lh-posteriorcingulate,lh_posteriorcingulate,Cingulate
23,ctx-lh-precentral,lh_precentral,Frontal
24,ctx-lh-precuneus,lh_precuneus,Parietal
25,ctx-lh-rostralanteriorcingulate,lh_rostralanteriorcingulate,Cingulate
26,ctx-lh-rostralmiddlefrontal,lh_rostralmiddlefrontal,Frontal
27,ctx-lh-superiorfrontal,lh_superiorfrontal,Frontal
28,ctx-lh-superiorparietal,lh_superiorparietal,Parietal
29,ctx-lh-superiortemporal,lh_superiortemporal,Temporal
30,ctx-lh-supramarginal,lh_supramarginal,Parietal
31,ctx-lh-frontalpole,lh_frontalpole,Frontal
32,ctx-lh-temporalpole,lh_temporalpole,Temporal
33,ctx-lh-transversetemporal,lh_transversetemporal,Temporal
34,ctx-lh-insula,lh_insula,Insula
35,Left-Thalamus-Proper,Left-Thalamus-Proper,Subcortex
36,Left-Caudate,Left-Caudate,Subcortex
37,Left-Putamen,Left-Putamen,Subcortex
38,Left-Pallidum,Left-Pallidum,Subcortex
39,Left-Hippocampus,Left-Hippocampus,Subcortex
40,Left-Amygdala,Left-Amygdala,Subcortex
41,Left-Accumbens-area,Left-Accumbens-area,Subcortex
42,ctx-rh-bankssts,rh_bankssts,Temporal
43,ctx-rh-caudalanteriorcingulate,rh_caudalanteriorcingulate,Cingulate
44,ctx-rh-caudalmiddlefrontal,rh_caudalmiddlefrontal,Frontal
45,ctx-rh-cuneus,rh_cuneus,Occipital
46,ctx-rh-entorhinal,rh_entorhinal,Temporal
47,ctx-rh-fusiform,rh_fusiform,Occipital
48,ctx-rh-inferiorparietal,rh_inferiorparietal,Parietal
49,ctx-rh-inferiortemporal,rh_inferiortemporal,Temporal
50,ctx-rh-isthmuscingulate,rh_isthmuscingulate,Cingulate
51,ctx-rh-lateraloccipital,rh_lateraloccipital,Occipital
52,ctx-rh-lateralorbitofrontal,rh_lateralorbitofrontal,Frontal
53,ctx-rh-lingual,rh_lingual,Occipital
54,ctx-rh-medialorbitofrontal,rh_medialorbitofrontal,Frontal
55,ctx-rh-middletemporal,rh_middletemporal,Temporal
56,ctx-rh-parahippocampal,rh_parahippocampal,Temporal
57,ctx-rh-paracentral,rh_paracentral,Frontal
58,ctx-rh-parsopercularis,rh_parsopercularis,Frontal
59,ctx-rh-parsorbitalis,rh_parsorbitalis,Frontal
60,ctx-rh-parstriangularis,rh_parstriangularis,Frontal
61,ctx-rh-pericalcarine,rh_pericalcarine,Occipital
62,ctx-rh-postcentral,rh_postcentral,Parietal
63,ctx-rh-posteriorcingulate,rh_posteriorcingulate,Cingulate
64,ctx-rh-precentral,rh_precentral,Frontal
65,ctx-rh-precuneus,rh_precuneus,Parietal
66,ctx-rh-rostralanteriorcingulate,rh_rostralanteriorcingulate,Cingulate
67,ctx-rh-rostralmiddlefrontal,rh_rostralmiddlefrontal,Frontal
68,ctx-rh-superiorfrontal,rh_superiorfrontal,Frontal
69,ctx-rh-superiorparietal,rh_superiorparietal,Parietal
70,ctx-rh-superiortemporal,rh_superiortemporal,Temporal
71,ctx-rh-supramarginal,rh_supramarginal,Parietal
72,ctx-rh-frontalpole,rh_frontalpole,Frontal
73,ctx-rh-temporalpole,rh_temporalpole,Temporal
74,ctx-rh-transversetemporal,rh_transversetemporal,Temporal
75,ctx-rh-insula,rh_insula,Insula
76,Right-Thalamus-Proper,Right-Thalamus-Proper,Subcortex
77,Right-Caudate,Right-Caudate,Subcortex
78,Right-Putamen,Right-Putamen,Subcortex
79,Right-Pallidum,Right-Pallidum,Subcortex
80,Right-Hippocampus,Right-Hippocampus,Subcortex
81,Right-Amygdala,Right-Amygdala,Subcortex
82,Right-Accumbens-area,Right-Accumbens-area,Subcortex
