SPI1,SPI2,spearman_corr_abs,SPI1_nickname,SPI2_nickname
cov_EmpiricalCovariance,dtw_constraint-itakura,0.399743264,Pearson,DTW
bary_dtw_mean,cov_EmpiricalCovariance,0.009767308,barycenter_DTW,Pearson
anm,cov_EmpiricalCovariance,0.010578177,ANM,Pearson
cov_EmpiricalCovariance,DI,0.045159518,Pearson,DI
cov_EmpiricalCovariance,te_kraskov_NN-4_DCE_k-max-10_tau-max-4,0.008592022,Pearson,transfer_entropy
cov_EmpiricalCovariance,phi_star_t-1_norm-0,0.05035977,Pearson,phi_star
cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,cov_EmpiricalCovariance,0.063109098,coherence_magnitude,Pearson
cov_EmpiricalCovariance,psi_multitaper_mean_fs-1_fmin-0_fmax-0-5,0,Pearson,PSI_frequency
cov_EmpiricalCovariance,pli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.001453434,Pearson,PLI
cov_EmpiricalCovariance,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,0.002794342,Pearson,spectral_GC
cov_EmpiricalCovariance,psi_wavelet_mean_fs-1_fmin-0_fmax-0-5_mean,0.002197113,Pearson,PSI_time_frequency
coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,cov_EmpiricalCovariance,0.005815175,cointegration,Pearson
cov_EmpiricalCovariance,pec,0.07898192,Pearson,power_envelope_corr
bary_dtw_mean,dtw_constraint-itakura,0.00117353,barycenter_DTW,DTW
anm,dtw_constraint-itakura,0.02760467,ANM,DTW
DI,dtw_constraint-itakura,0.075014264,DI,DTW
dtw_constraint-itakura,te_kraskov_NN-4_DCE_k-max-10_tau-max-4,0.008921982,DTW,transfer_entropy
dtw_constraint-itakura,phi_star_t-1_norm-0,0.129652949,DTW,phi_star
cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,dtw_constraint-itakura,0.092660767,coherence_magnitude,DTW
dtw_constraint-itakura,psi_multitaper_mean_fs-1_fmin-0_fmax-0-5,0,DTW,PSI_frequency
dtw_constraint-itakura,pli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.074578066,DTW,PLI
dtw_constraint-itakura,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,0.013715902,DTW,spectral_GC
dtw_constraint-itakura,psi_wavelet_mean_fs-1_fmin-0_fmax-0-5_mean,0.005164115,DTW,PSI_time_frequency
coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,dtw_constraint-itakura,0.1274113,cointegration,DTW
dtw_constraint-itakura,pec,0.119822314,DTW,power_envelope_corr
anm,bary_dtw_mean,0.004406491,ANM,barycenter_DTW
bary_dtw_mean,DI,0.000905422,barycenter_DTW,DI
bary_dtw_mean,te_kraskov_NN-4_DCE_k-max-10_tau-max-4,0.001189616,barycenter_DTW,transfer_entropy
bary_dtw_mean,phi_star_t-1_norm-0,0.001613014,barycenter_DTW,phi_star
bary_dtw_mean,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.001027218,barycenter_DTW,coherence_magnitude
bary_dtw_mean,psi_multitaper_mean_fs-1_fmin-0_fmax-0-5,0,barycenter_DTW,PSI_frequency
bary_dtw_mean,pli_multitaper_max_fs-1_fmin-0_fmax-0-5,2.39693444512148e-05,barycenter_DTW,PLI
bary_dtw_mean,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,0.000169623,barycenter_DTW,spectral_GC
bary_dtw_mean,psi_wavelet_mean_fs-1_fmin-0_fmax-0-5_mean,0.00246361,barycenter_DTW,PSI_time_frequency
bary_dtw_mean,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.001902188,barycenter_DTW,cointegration
bary_dtw_mean,pec,0.00687267,barycenter_DTW,power_envelope_corr
anm,DI,0.230622301,ANM,DI
anm,te_kraskov_NN-4_DCE_k-max-10_tau-max-4,0.011099487,ANM,transfer_entropy
anm,phi_star_t-1_norm-0,0.132981339,ANM,phi_star
