,index,Study,Disorder,Analysis_Type,group_var,Balanced_Accuracy_Across_Folds,Balanced_Accuracy_Across_Folds_SD,p_value,p_value_HolmBonferroni
17,18,ABIDE,ASD,Univariate_Brain_Region,"Cingulate Gyrus, posterior division",52.30498675108743,0.037933589455209096,9.14358434149164e-05,0.0025602036156176593
18,19,ABIDE,ASD,Univariate_Brain_Region,Cuneal Cortex,52.04585485597283,0.04245939208839812,0.000545096992539911,0.013082327820957862
20,21,ABIDE,ASD,Univariate_Brain_Region,Frontal Operculum Cortex,53.33017610925425,0.039812802890214334,5.817050025097623e-08,2.2104790095370966e-06
21,22,ABIDE,ASD,Univariate_Brain_Region,Frontal Orbital Cortex,52.92346939473821,0.04923689307192705,4.393462832104068e-07,1.5816466195574643e-05
22,23,ABIDE,ASD,Univariate_Brain_Region,Frontal Pole,53.16566410174289,0.03900306897142742,1.0569180834159667e-07,3.910596908639077e-06
24,25,ABIDE,ASD,Univariate_Brain_Region,"Inferior Frontal Gyrus, pars opercularis",51.82996396241032,0.044352976638594124,0.002039718988425407,0.042834098756933545
25,26,ABIDE,ASD,Univariate_Brain_Region,"Inferior Frontal Gyrus, pars triangularis",54.16533014154985,0.0458192025371138,3.440533299291585e-11,1.4794293186953817e-09
26,27,ABIDE,ASD,Univariate_Brain_Region,"Inferior Temporal Gyrus, anterior division",53.80508803409679,0.050438742809244694,1.0538267106505989e-10,4.426072184732515e-09
27,28,ABIDE,ASD,Univariate_Brain_Region,"Inferior Temporal Gyrus, posterior division",54.513901435207615,0.04284264288317665,1.3226646766708705e-12,6.084257512686004e-11
29,30,ABIDE,ASD,Univariate_Brain_Region,Insular Cortex,52.59740688122241,0.04848553438109416,2.1355716480940174e-05,0.000619315777947265
31,32,ABIDE,ASD,Univariate_Brain_Region,Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),51.89083984145103,0.04505907033949783,0.0010025775432991404,0.02205670595258109
32,33,ABIDE,ASD,Univariate_Brain_Region,"Lateral Occipital Cortex, inferior division",52.395422897624776,0.04365671720689289,0.00012982475689221365,0.0035052684360897686
35,36,ABIDE,ASD,Univariate_Brain_Region,Middle Frontal Gyrus,54.1362119607022,0.03928535312327005,3.555157028427932e-12,1.5998206627925694e-10
37,38,ABIDE,ASD,Univariate_Brain_Region,"Middle Temporal Gyrus, posterior division",52.63000461248299,0.04175472163045765,1.4889878064936205e-05,0.00046158622001302234
38,39,ABIDE,ASD,Univariate_Brain_Region,"Middle Temporal Gyrus, temporooccipital part",52.89859072904605,0.042793369850540046,2.9598805724389347e-06,9.767605889048485e-05
41,42,ABIDE,ASD,Univariate_Brain_Region,Paracingulate Gyrus,52.316567915732534,0.04401740603034985,0.00018825132099294187,0.004706283024823547
42,43,ABIDE,ASD,Univariate_Brain_Region,"Parahippocampal Gyrus, anterior division",54.443118298554936,0.047675794805573095,1.0345351324288575e-13,4.86231512241563e-12
43,44,ABIDE,ASD,Univariate_Brain_Region,"Parahippocampal Gyrus, posterior division",54.14348380703671,0.046551928362716564,2.5048260667892068e-11,1.102123469387251e-09
44,45,ABIDE,ASD,Univariate_Brain_Region,Parietal Operculum Cortex,52.53742304544322,0.04500993376298772,1.9363574270171646e-05,0.0005809072281051493
45,46,ABIDE,ASD,Univariate_Brain_Region,Planum Polare,51.967087470196795,0.044232210352805584,0.0006397880562542946,0.014715125293848776
46,47,ABIDE,ASD,Univariate_Brain_Region,Planum Temporale,53.37290693186391,0.04010369877251761,6.876214453145655e-09,2.8192479257897184e-07
47,48,ABIDE,ASD,Univariate_Brain_Region,Postcentral Gyrus,52.76190759704692,0.04058383094384548,4.061023460549896e-06,0.00012995275073759667
51,52,ABIDE,ASD,Univariate_Brain_Region,Superior Frontal Gyrus,54.86412713207578,0.04217140170328593,3.762315342911578e-15,1.8059113645975575e-13
53,54,ABIDE,ASD,Univariate_Brain_Region,"Superior Temporal Gyrus, anterior division",53.5400718014415,0.04580640734877377,7.55223465869761e-09,3.020893863479044e-07
54,55,ABIDE,ASD,Univariate_Brain_Region,"Superior Temporal Gyrus, posterior division",52.894336842652734,0.04267983623121979,1.8343717446906327e-06,6.23686393194815e-05
56,57,ABIDE,ASD,Univariate_Brain_Region,"Supramarginal Gyrus, anterior division",52.25930263910674,0.04875734713532835,0.00017097025201060436,0.004445226552275713
59,60,ABIDE,ASD,Univariate_Brain_Region,"Temporal Fusiform Cortex, posterior division",53.40180235852543,0.042431992279211135,3.097223335561291e-08,1.2079171008689037e-06
61,62,ABIDE,ASD,Univariate_Brain_Region,Temporal Pole,52.87978664870946,0.038351071362194976,5.730986189885936e-07,2.0058451664600774e-05
122,123,UCLA_CNP,ADHD,Univariate_Brain_Region,Left-Thalamus-Proper,56.859848484848484,0.13845609900613126,0.00022486958152437734,0.015066261962133282
125,126,UCLA_CNP,ADHD,Univariate_Brain_Region,Right-Caudate,57.72727272727273,0.13907033810669298,3.7431782316323757e-05,0.002769951891407958
129,130,UCLA_CNP,ADHD,Univariate_Brain_Region,Right-Thalamus-Proper,57.22727272727273,0.12423845805818967,7.6792884989503e-05,0.00537550194926521
135,136,UCLA_CNP,ADHD,Univariate_Brain_Region,ctx-lh-frontalpole,57.8939393939394,0.13101227277653177,1.0239333431763578e-05,0.0007781893408140319
136,137,UCLA_CNP,ADHD,Univariate_Brain_Region,ctx-lh-fusiform,59.12878787878788,0.13432101503108443,6.52333468117321e-07,5.088201051315104e-05
149,150,UCLA_CNP,ADHD,Univariate_Brain_Region,ctx-lh-parsorbitalis,60.45454545454545,0.1456350591444062,1.2066420532051633e-08,9.773800630961822e-07
154,155,UCLA_CNP,ADHD,Univariate_Brain_Region,ctx-lh-precentral,58.62500000000001,0.1393658383444124,3.036739934850571e-06,0.00023382897498349395
173,174,UCLA_CNP,ADHD,Univariate_Brain_Region,ctx-rh-insula,56.65530303030303,0.13001679535833846,0.0002538712711574439,0.016501632625233853
174,175,UCLA_CNP,ADHD,Univariate_Brain_Region,ctx-rh-isthmuscingulate,59.984848484848484,0.11843936054815425,1.8501960250945994e-07,1.4616548598247335e-05
175,176,UCLA_CNP,ADHD,Univariate_Brain_Region,ctx-rh-lateraloccipital,57.27272727272727,0.12358970593118368,6.286917826204164e-05,0.004526580834866998
179,180,UCLA_CNP,ADHD,Univariate_Brain_Region,ctx-rh-middletemporal,57.43181818181819,0.1374779952980736,6.501059235311239e-05,0.00461575205707098
180,181,UCLA_CNP,ADHD,Univariate_Brain_Region,ctx-rh-paracentral,56.734848484848484,0.10669355604288802,0.00016373806597476176,0.0111341884862838
184,185,UCLA_CNP,ADHD,Univariate_Brain_Region,ctx-rh-parstriangularis,56.53030303030303,0.14373799807175364,0.00023209220068182021,0.015318085245000133
186,187,UCLA_CNP,ADHD,Univariate_Brain_Region,ctx-rh-postcentral,57.45454545454546,0.14331769303087166,4.524129809953004e-05,0.003302614761265693
187,188,UCLA_CNP,ADHD,Univariate_Brain_Region,ctx-rh-posteriorcingulate,61.712121212121204,0.13080409210691527,3.480308496622165e-10,2.8538529672301754e-08
189,190,UCLA_CNP,ADHD,Univariate_Brain_Region,ctx-rh-precuneus,60.265151515151516,0.11981772279659937,2.5355286287458613e-08,2.028422902996689e-06
190,191,UCLA_CNP,ADHD,Univariate_Brain_Region,ctx-rh-rostralanteriorcingulate,57.71212121212122,0.14393488305080307,2.7713454188510678e-05,0.0020785090641383007
192,193,UCLA_CNP,ADHD,Univariate_Brain_Region,ctx-rh-superiorfrontal,56.87878787878788,0.14324874986915195,0.0001435528676858536,0.0099051478703239
254,255,UCLA_CNP,BP,Univariate_Brain_Region,Left-Caudate,64.93712121212121,0.13193595035949726,2.534986570739868e-17,2.053339122299293e-15
255,256,UCLA_CNP,BP,Univariate_Brain_Region,Left-Hippocampus,61.98106060606061,0.1183591775333198,4.506315563023236e-12,3.3797366722674267e-10
256,257,UCLA_CNP,BP,Univariate_Brain_Region,Left-Pallidum,55.6030303030303,0.11967880238583964,0.0005576358761358697,0.021747799169298917
258,259,UCLA_CNP,BP,Univariate_Brain_Region,Left-Thalamus-Proper,64.35757575757576,0.12622150294500936,9.302996818013347e-16,7.442397454410678e-14
261,262,UCLA_CNP,BP,Univariate_Brain_Region,Right-Caudate,56.19924242424242,0.12597570959124557,0.00013740448727451917,0.005908392952804324
262,263,UCLA_CNP,BP,Univariate_Brain_Region,Right-Hippocampus,65.57121212121211,0.11424444081363348,1.0661834313955633e-19,8.74270413744362e-18
264,265,UCLA_CNP,BP,Univariate_Brain_Region,Right-Putamen,57.334090909090904,0.13982071977659602,1.4984646133553833e-05,0.000719263014410584
265,266,UCLA_CNP,BP,Univariate_Brain_Region,Right-Thalamus-Proper,60.909090909090914,0.109924374532794,8.484894940926559e-10,6.024275408057858e-08
268,269,UCLA_CNP,BP,Univariate_Brain_Region,ctx-lh-caudalmiddlefrontal,58.10606060606061,0.11950080402521804,5.395149556170541e-06,0.00028594292647703866
271,272,UCLA_CNP,BP,Univariate_Brain_Region,ctx-lh-frontalpole,57.923484848484854,0.13487122890396047,4.365577657924646e-06,0.0002401067711858555
272,273,UCLA_CNP,BP,Univariate_Brain_Region,ctx-lh-fusiform,58.71060606060606,0.12544098965014916,7.939135596357774e-07,4.8428727137782424e-05
273,274,UCLA_CNP,BP,Univariate_Brain_Region,ctx-lh-inferiorparietal,62.51363636363636,0.11767560406460328,2.349670754859544e-12,1.7857497736932535e-10
274,275,UCLA_CNP,BP,Univariate_Brain_Region,ctx-lh-inferiortemporal,58.86136363636364,0.12078938253992318,3.499342083039878e-07,2.1695920914847243e-05
276,277,UCLA_CNP,BP,Univariate_Brain_Region,ctx-lh-isthmuscingulate,58.45454545454546,0.13229286797885056,8.38103493044807e-07,5.028620958268842e-05
277,278,UCLA_CNP,BP,Univariate_Brain_Region,ctx-lh-lateraloccipital,57.59469696969697,0.1297984878399193,8.736923001417295e-06,0.00043684615007086476
278,279,UCLA_CNP,BP,Univariate_Brain_Region,ctx-lh-lateralorbitofrontal,60.59166666666667,0.10465506286006833,1.3719193619033322e-09,9.603435533323326e-08
282,283,UCLA_CNP,BP,Univariate_Brain_Region,ctx-lh-paracentral,57.9030303030303,0.12203666598163042,4.50763341129063e-06,0.000243412204209694
284,285,UCLA_CNP,BP,Univariate_Brain_Region,ctx-lh-parsopercularis,59.743181818181824,0.12712852284859116,8.842817971736888e-09,6.013116220781084e-07
288,289,UCLA_CNP,BP,Univariate_Brain_Region,ctx-lh-postcentral,61.33409090909091,0.1312153471034821,2.1608977887807677e-10,1.5774553858099605e-08
289,290,UCLA_CNP,BP,Univariate_Brain_Region,ctx-lh-posteriorcingulate,55.7060606060606,0.1260571735246454,0.0004532078176365696,0.018128312705462783
290,291,UCLA_CNP,BP,Univariate_Brain_Region,ctx-lh-precentral,60.55227272727273,0.11638534444608065,5.830535486470433e-10,4.197985550258712e-08
291,292,UCLA_CNP,BP,Univariate_Brain_Region,ctx-lh-precuneus,57.64545454545454,0.11448584031979413,6.04526062601208e-06,0.0003083082919266161
295,296,UCLA_CNP,BP,Univariate_Brain_Region,ctx-lh-superiorparietal,60.35984848484849,0.13764192609326614,1.8245450949110436e-09,1.2589361154886202e-07
