"Sample_ID","Mean_FD_Power"
"sub-10159",0.11049
"sub-10171",0.21475
"sub-10189",0.20426
"sub-10206",0.064667
"sub-10217",0.062641
"sub-10225",0.13827
"sub-10227",0.049674
"sub-10228",0.1538
"sub-10235",0.1766
"sub-10249",0.078797
"sub-10269",0.33961
"sub-10271",0.5525
"sub-10273",0.067619
"sub-10274",0.073346
"sub-10280",0.086771
"sub-10290",0.20124
"sub-10292",0.10996
"sub-10304",0.061796
"sub-10316",0.19319
"sub-10321",0.1506
"sub-10325",0.039435
"sub-10329",0.10094
"sub-10339",0.19645
"sub-10340",0.08638
"sub-10345",0.062427
"sub-10347",0.041265
"sub-10356",0.11198
"sub-10361",0.43422
"sub-10365",0.068372
"sub-10376",0.1272
"sub-10377",0.15491
"sub-10388",0.073271
"sub-10429",0.3336
"sub-10438",0.13819
"sub-10440",0.047543
"sub-10448",0.083479
"sub-10455",0.13296
"sub-10460",0.24225
"sub-10471",0.046975
"sub-10478",0.049428
"sub-10487",0.11103
"sub-10492",0.048877
"sub-10506",0.14146
"sub-10517",0.059282
"sub-10523",0.042593
"sub-10525",0.066205
"sub-10527",0.13672
"sub-10530",0.047065
"sub-10557",0.061143
"sub-10565",0.067075
"sub-10570",0.17204
"sub-10575",0.12426
"sub-10624",0.097077
"sub-10629",0.099621
"sub-10631",0.040165
"sub-10638",0.088177
"sub-10668",0.04141
"sub-10672",0.056094
"sub-10674",0.087127
"sub-10678",0.078145
"sub-10680",0.085264
"sub-10686",0.055973
"sub-10692",0.08418
"sub-10696",0.059183
"sub-10697",0.077924
"sub-10704",0.070777
"sub-10707",0.10002
"sub-10708",0.087365
"sub-10719",0.075564
"sub-10724",0.06257
"sub-10746",0.074998
"sub-10762",0.047383
"sub-10779",0.065769
"sub-10785",0.084547
"sub-10788",0.10081
"sub-10844",0.054934
"sub-10855",0.077264
"sub-10871",0.060816
"sub-10877",0.051542
"sub-10882",0.18716
"sub-10891",0.037848
"sub-10893",0.10433
"sub-10912",0.082943
"sub-10934",0.13374
"sub-10940",0.069977
"sub-10949",0.15162
"sub-10958",0.043668
"sub-10963",0.078571
"sub-10968",0.099452
"sub-10975",0.09368
"sub-10977",0.19254
"sub-10987",0.031517
"sub-10998",0.62655
"sub-11019",0.14248
"sub-11030",0.10982
"sub-11044",0.058936
"sub-11050",0.21702
"sub-11052",0.031501
"sub-11059",0.072031
"sub-11061",0.10153
"sub-11062",0.22387
"sub-11066",0.068756
"sub-11067",0.040796
"sub-11068",0.076495
"sub-11077",0.068077
"sub-11088",0.069115
"sub-11090",0.057956
"sub-11097",0.076306
"sub-11098",0.034973
"sub-11104",0.10003
"sub-11105",0.045915
"sub-11106",0.08908
"sub-11108",0.065407
"sub-11112",0.052188
"sub-11122",0.15341
"sub-11128",0.09186
"sub-11131",0.074918
"sub-11142",0.10656
"sub-11143",0.037678
"sub-11149",0.1222
"sub-11156",0.069971
"sub-50004",0.83211
"sub-50005",0.16704
"sub-50006",0.36434
"sub-50007",0.058806
"sub-50008",0.153
"sub-50010",0.16038
"sub-50013",0.13516
"sub-50014",0.15592
"sub-50015",0.088986
"sub-50016",0.29999
"sub-50020",0.3596
"sub-50021",0.050548
"sub-50022",0.35746
"sub-50023",0.089218
"sub-50025",0.14759
"sub-50027",0.17283
"sub-50029",0.49722
"sub-50032",0.31088
"sub-50033",0.16049
"sub-50034",0.077806
