"","SPI1","SPI2","SPI1_nickname","SPI2_nickname","spearman_corr_abs"
"1","cov_EmpiricalCovariance","dtw_constraint-itakura","Pearson","DTW",0.39974326425597
"2","bary_dtw_mean","cov_EmpiricalCovariance","barycenter_DTW","Pearson",0.00976730795580824
"3","anm","cov_EmpiricalCovariance","ANM","Pearson",0.0105781768601168
"4","cov_EmpiricalCovariance","di_gaussian","Pearson","DI",0.0451595175073173
"5","cov_EmpiricalCovariance","te_kraskov_NN-4_DCE_k-max-10_tau-max-4","Pearson","transfer_entropy",0.00859202222363206
"6","cov_EmpiricalCovariance","phi_star_t-1_norm-0","Pearson","phi_star",0.0503597696416475
"7","cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5","cov_EmpiricalCovariance","coherence_magnitude","Pearson",0.0631090978875131
"8","cov_EmpiricalCovariance","psi_multitaper_mean_fs-1_fmin-0_fmax-0-5","Pearson","PSI_frequency",0
"9","cov_EmpiricalCovariance","pli_multitaper_max_fs-1_fmin-0_fmax-0-5","Pearson","PLI",0.00145343427235232
"10","cov_EmpiricalCovariance","sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5","Pearson","spectral_GC",0.0027943420828676
"11","cov_EmpiricalCovariance","psi_wavelet_mean_fs-1_fmin-0_fmax-0-5_mean","Pearson","PSI_time_frequency",0.00219711256108844
"12","coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10","cov_EmpiricalCovariance","cointegration","Pearson",0.00581517466036262
"13","cov_EmpiricalCovariance","pec","Pearson","power_envelope_corr",0.0789819204262356
"14","bary_dtw_mean","dtw_constraint-itakura","barycenter_DTW","DTW",0.00117352960666438
"15","anm","dtw_constraint-itakura","ANM","DTW",0.0276046702384684
"16","di_gaussian","dtw_constraint-itakura","DI","DTW",0.0750142643859465
"17","dtw_constraint-itakura","te_kraskov_NN-4_DCE_k-max-10_tau-max-4","DTW","transfer_entropy",0.00892198157115369
"18","dtw_constraint-itakura","phi_star_t-1_norm-0","DTW","phi_star",0.129652948677941
"19","cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5","dtw_constraint-itakura","coherence_magnitude","DTW",0.0926607668611966
"20","dtw_constraint-itakura","psi_multitaper_mean_fs-1_fmin-0_fmax-0-5","DTW","PSI_frequency",0
"21","dtw_constraint-itakura","pli_multitaper_max_fs-1_fmin-0_fmax-0-5","DTW","PLI",0.0745780655677385
"22","dtw_constraint-itakura","sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5","DTW","spectral_GC",0.0137159018554871
"23","dtw_constraint-itakura","psi_wavelet_mean_fs-1_fmin-0_fmax-0-5_mean","DTW","PSI_time_frequency",0.0051641151491509
"24","coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10","dtw_constraint-itakura","cointegration","DTW",0.127411299944771
"25","dtw_constraint-itakura","pec","DTW","power_envelope_corr",0.1198223142482
"26","anm","bary_dtw_mean","ANM","barycenter_DTW",0.00440649105307598
"27","bary_dtw_mean","di_gaussian","barycenter_DTW","DI",0.000905422315220967
"28","bary_dtw_mean","te_kraskov_NN-4_DCE_k-max-10_tau-max-4","barycenter_DTW","transfer_entropy",0.00118961631588379
"29","bary_dtw_mean","phi_star_t-1_norm-0","barycenter_DTW","phi_star",0.00161301428738633
"30","bary_dtw_mean","cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5","barycenter_DTW","coherence_magnitude",0.00102721808400181
"31","bary_dtw_mean","psi_multitaper_mean_fs-1_fmin-0_fmax-0-5","barycenter_DTW","PSI_frequency",0
"32","bary_dtw_mean","pli_multitaper_max_fs-1_fmin-0_fmax-0-5","barycenter_DTW","PLI",2.39693444512148e-05
"33","bary_dtw_mean","sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5","barycenter_DTW","spectral_GC",0.000169623373775496
"34","bary_dtw_mean","psi_wavelet_mean_fs-1_fmin-0_fmax-0-5_mean","barycenter_DTW","PSI_time_frequency",0.00246360960247145
"35","bary_dtw_mean","coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10","barycenter_DTW","cointegration",0.00190218752087794
"36","bary_dtw_mean","pec","barycenter_DTW","power_envelope_corr",0.00687267049513467
"37","anm","di_gaussian","ANM","DI",0.230622301442035
