,brain_region_1,value,SPI,brain_region_2
0,proc-0,,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
1,proc-1,0.20053233711528554,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
2,proc-2,0.16764052549298808,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
3,proc-3,0.16291778085263436,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
4,proc-4,0.1375443064579034,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
5,proc-5,0.1394847432697246,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
6,proc-6,0.14752637055808077,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
7,proc-7,0.14095200562032828,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
8,proc-8,0.19488387323891943,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
9,proc-9,0.14811501435942692,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
10,proc-10,0.0918878078302592,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
11,proc-11,0.1826685548830031,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
12,proc-12,0.12560238343488422,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
13,proc-13,0.1069285549428179,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
14,proc-14,0.1537647546703901,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
15,proc-15,0.16171874555571172,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
16,proc-16,0.15920496662859268,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
17,proc-17,0.12949216416503925,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
18,proc-18,0.1973474974923717,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
19,proc-19,0.13078411832051307,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
20,proc-20,0.07595903514667578,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
21,proc-21,0.18416963620220506,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
22,proc-22,0.16262117148263014,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
23,proc-23,0.22097157921786398,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
24,proc-24,0.1049109825826964,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
25,proc-25,0.11209006039203226,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
26,proc-26,0.16840699900064393,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
27,proc-27,0.1428175218012464,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
28,proc-28,0.11041946419368136,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
29,proc-29,0.12753768839198243,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
30,proc-30,0.18404508044125584,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
31,proc-31,0.16512577561183422,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
32,proc-32,0.1297727761629463,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
33,proc-33,0.16878520406722478,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
34,proc-34,0.17390582846819164,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
35,proc-35,0.11260937143187248,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
36,proc-36,0.13662873295630332,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
37,proc-37,0.14257006907950992,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
38,proc-38,0.22686576573694026,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
39,proc-39,0.1310393854492625,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
40,proc-40,0.09033948794005793,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
41,proc-41,0.08329489582218194,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
42,proc-42,0.09724454347449106,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
43,proc-43,0.08696290658279672,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
44,proc-44,0.16662056419693874,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
45,proc-45,0.12250861246626946,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
46,proc-46,0.12548867050265422,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
