fd,SCZ,Control,Total,SCZ:Control,AvgROIAcc,AvgROIError,AvgFeatAcc,AvgFeatError
0.72,58.0,127.0,185.0,0.46,50.00,4.95,52.86,10.18
0.69,57.0,127.0,184.0,0.45,50.06,4.88,52.80,9.95
0.6599999999999999,57.0,127.0,184.0,0.45,50.06,4.88,52.80,9.95
0.63,57.0,127.0,184.0,0.45,50.06,4.88,52.80,9.95
0.6,57.0,127.0,184.0,0.45,50.06,4.88,52.80,9.95
0.57,57.0,127.0,184.0,0.45,50.06,4.88,52.80,9.95
0.54,57.0,126.0,183.0,0.45,50.01,5.12,52.71,9.42
0.51,56.0,126.0,182.0,0.44,50.07,4.85,52.80,10.15
0.48,55.0,126.0,181.0,0.44,50.01,4.56,52.70,10.10
0.44999999999999996,55.0,125.0,180.0,0.44,49.84,4.72,52.95,10.62
0.42,54.0,125.0,179.0,0.43,49.94,4.53,52.88,10.36
0.39,54.0,124.0,178.0,0.44,49.95,4.84,52.73,10.52
0.36,52.0,123.0,175.0,0.42,49.90,4.47,52.86,9.86
0.32999999999999996,52.0,123.0,175.0,0.42,49.90,4.47,52.86,9.86
0.3,49.0,123.0,172.0,0.40,50.00,4.21,52.60,9.74
0.27,46.0,122.0,168.0,0.38,50.07,3.80,52.38,10.15
0.24,44.0,121.0,165.0,0.36,50.08,3.69,51.73,10.21
0.20999999999999996,38.0,114.0,152.0,0.33,50.05,4.22,50.07,11.54
0.17999999999999994,30.0,107.0,137.0,0.28,49.95,4.47,50.47,9.55
0.15000000000000002,14.0,98.0,112.0,0.14,49.71,5.90,49.56,6.97
0.12,12.0,80.0,92.0,0.15,49.97,9.81,49.53,4.78
