fd,SCZ,Control,Total,SCZ:Control,AvgROIAcc,AvgROIError,AvgFeatAcc,AvgFeatError
0.72,67.0,73.0,140.0,0.92,50.51,11.59,53.34,12.61
0.69,67.0,73.0,140.0,0.92,50.51,11.59,53.34,12.61
0.6599999999999999,67.0,73.0,140.0,0.92,50.51,11.59,53.34,12.61
0.63,66.0,72.0,138.0,0.92,50.34,11.82,53.18,12.64
0.6,64.0,72.0,136.0,0.89,50.49,11.93,52.81,12.94
0.57,61.0,72.0,133.0,0.85,50.59,11.95,52.35,12.79
0.54,58.0,70.0,128.0,0.83,50.56,11.99,54.50,12.65
0.51,55.0,70.0,125.0,0.79,50.48,12.18,53.41,13.16
0.48,55.0,69.0,124.0,0.80,50.66,12.40,54.14,13.94
0.44999999999999996,54.0,69.0,123.0,0.78,50.66,12.26,54.08,13.77
0.42,50.0,67.0,117.0,0.75,50.42,12.27,54.34,14.21
0.39,44.0,64.0,108.0,0.69,50.91,13.36,53.75,15.36
0.36,41.0,60.0,101.0,0.68,51.08,13.45,54.62,14.91
0.32999999999999996,37.0,57.0,94.0,0.65,50.96,14.16,56.20,14.92
0.3,34.0,56.0,90.0,0.61,50.78,14.41,56.62,15.15
0.27,31.0,49.0,80.0,0.63,50.93,15.34,56.00,15.94
0.24,24.0,45.0,69.0,0.53,50.53,16.60,53.67,18.08
0.21,20.0,38.0,58.0,0.53,50.95,18.43,56.86,18.37
