fd,SCZ,Control,Total,SCZ:Control,AverageAccuracyUsingRegions,AverageErrorUsingRegions,AverageAccuracyUsingFeatures,AverageErrorUsingFeatures
0.72,67.0,73.0,140.0,0.92,50.62,11.70,53.34,12.61
0.69,67.0,73.0,140.0,0.92,50.62,11.70,53.34,12.61
0.6599999999999999,67.0,73.0,140.0,0.92,50.62,11.70,53.34,12.61
0.63,66.0,72.0,138.0,0.92,50.35,11.76,53.18,12.64
0.6,64.0,72.0,136.0,0.89,50.48,11.89,52.81,12.94
0.57,61.0,72.0,133.0,0.85,50.63,12.02,52.35,12.79
0.54,58.0,70.0,128.0,0.83,50.69,12.23,54.50,12.65
0.51,55.0,70.0,125.0,0.79,50.48,12.39,53.41,13.16
0.48,55.0,69.0,124.0,0.80,50.62,12.34,54.14,13.94
0.44999999999999996,54.0,69.0,123.0,0.78,50.54,12.31,54.08,13.77
0.42,50.0,67.0,117.0,0.75,50.58,12.86,54.34,14.21
0.39,44.0,64.0,108.0,0.69,50.55,13.68,53.75,15.36
0.36,41.0,60.0,101.0,0.68,51.40,13.83,54.62,14.91
0.32999999999999996,37.0,57.0,94.0,0.65,51.38,14.98,56.20,14.92
0.3,34.0,56.0,90.0,0.61,51.14,15.25,56.62,15.15
0.27,31.0,49.0,80.0,0.63,51.46,16.36,56.00,15.94
0.24,24.0,45.0,69.0,0.53,50.55,17.86,53.67,18.08
0.21,20.0,38.0,58.0,0.53,50.88,19.28,56.86,18.37
