fd,SCZ,Control,Total,SCZ:Control,AverageAccuracyUsingRegions,AverageErrorUsingRegions,AverageAccuracyUsingFeatures,AverageErrorUsingFeatures
0.72,58.0,127.0,185.0,0.46,50.98,10.81,52.86,10.18
0.69,57.0,127.0,184.0,0.45,51.02,10.95,52.80,9.95
0.6599999999999999,57.0,127.0,184.0,0.45,51.02,10.95,52.80,9.95
0.63,57.0,127.0,184.0,0.45,51.02,10.95,52.80,9.95
0.6,57.0,127.0,184.0,0.45,51.02,10.95,52.80,9.95
0.57,57.0,127.0,184.0,0.45,51.02,10.95,52.80,9.95
0.54,57.0,126.0,183.0,0.45,51.12,11.04,52.71,9.43
0.51,56.0,126.0,182.0,0.44,50.83,11.18,52.80,10.15
0.48,55.0,126.0,181.0,0.44,50.76,11.28,52.70,10.11
0.44999999999999996,55.0,125.0,180.0,0.44,50.83,11.27,52.95,10.62
0.42,54.0,125.0,179.0,0.43,50.60,11.34,52.88,10.36
0.39,54.0,124.0,178.0,0.44,50.67,11.28,52.73,10.52
0.36,52.0,123.0,175.0,0.42,50.69,11.46,52.86,9.86
0.32999999999999996,52.0,123.0,175.0,0.42,50.69,11.46,52.86,9.86
0.3,49.0,123.0,172.0,0.40,50.54,11.83,52.59,9.74
0.27,46.0,122.0,168.0,0.38,50.67,12.01,52.38,10.15
0.24,44.0,121.0,165.0,0.36,50.55,12.28,51.72,10.21
0.21,38.0,114.0,152.0,0.33,50.48,12.83,50.06,11.54
