Figure_name,feature_name,Category,Description
embedding_dist,CO_Embed2_Dist_tau_d_expfit_meandiff,Other,Goodness of exponential fit to embedding distance distribution
ACF_timescale,CO_f1ecac,Linear autocorrelation,First 1/e crossing of the ACF
ACF_first_min,CO_FirstMin_ac,Linear autocorrelation,First minimum of the ACF
AMI2,CO_HistogramAMI_even_2_5,Nonlinear autocorrelation,Histogram-based automutual information (lag 2; 5 bins)
trev,CO_trev_1_num,Nonlinear autocorrelation,Time reversibility
mode_10,DN_HistogramMode_10,Distribution shape,10-bin histogram mode
mode_5,DN_HistogramMode_5,Distribution shape,5-bin histogram mode
mean,DN_Mean,Distributional moment,Mean
outlier_timing_neg,DN_OutlierInclude_n_001_mdrmd,Extreme event timing,Negative outlier timing
outlier_timing_pos,DN_OutlierInclude_p_001_mdrmd,Extreme event timing,Positive outlier timing
SD,DN_Spread_Std,Distributional moment,Standard deviation
whiten_timescale,FC_LocalSimple_mean1_tauresrat,Incremental differences,Change in autocorrelation timescale after incremental differencing
forecast_error,FC_LocalSimple_mean3_stderr,Simple forecasting,Error of 3-point rolling mean forecast
AMI_timescale,IN_AutoMutualInfoStats_40_gaussian_fmmi,Nonlinear autocorrelation,First minimum of the AMI function
high_fluctuation,MD_hrv_classic_pnn40,Incremental differences,Proportion of high incremental changes in the series
periodicity,PD_PeriodicityWang_th0_01,Linear autocorrelation structure,Wang's periodicity metric
stretch_decreasing,SB_BinaryStats_diff_longstretch0,Symbolic,Longest stretch of decreasing values
stretch_high,SB_BinaryStats_mean_longstretch1,Symbolic,Longest stretch of above-mean values
entropy_pairs,SB_MotifThree_quantile_hh,Symbolic,Entropy of successive pairs in symbolized series
transition_variance,SB_TransitionMatrix_3ac_sumdiagcov,Symbolic,Transition matrix column variance
DFA,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,Self-affine scaling,Detrended fluctuation analysis (low-scale scaling)
rs_range,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,Self-affine scaling,Rescaled range fluctuation analysis (low-scale scaling)
low_freq_power,SP_Summaries_welch_rect_area_5_1,Linear autocorrelation,Power in lowest 20% frequencies
centroid_freq,SP_Summaries_welch_rect_centroid,Linear autocorrelation,Centroid frequency
fALFF,fALFF,Linear autocorrelation,Ratio of spectral power in 0.01-0.08Hz range to the full frequency range
