"Disorder","SPI with local dynamics","Balanced Accuracy","SD","Benjamini--Hochberg p-value"
"SCZ","Pearson",71,12.4,"2e-08"
"SCZ","DTW",67.9,11.6,"2e-07"
"SCZ","DI",66.8,11.1,"2e-06"
"SCZ","power_envelope_corr",66.5,11.3,"3e-08"
"SCZ","barycenter_DTW",66,11.2,"2e-11"
"SCZ","cointegration",65.9,11.4,"4e-05"
"SCZ","PSI_frequency",64.9,11.5,"3e-09"
"SCZ","coherence_magnitude",64.6,10.1,"2e-07"
"SCZ","ANM",64,8.6,"6e-20"
"SCZ","phi_star",64,8.8,"5e-09"
"SCZ","transfer_entropy",63.5,9.9,"5e-21"
"SCZ","PSI_time_frequency",62.6,12.7,"1e-03"
"SCZ","spectral_GC",59.1,8.6,"3e-07"
"SCZ","PLI",56.9,7.7,"2e-25"
"BP","DTW",67.7,12,"2e-06"
"BP","phi_star",65.7,11.1,"2e-08"
"BP","DI",65.6,12.2,"4e-05"
"BP","Pearson",64.7,10.9,"8e-05"
"BP","cointegration",64.1,10,"2e-04"
"BP","PSI_time_frequency",61.5,13.2,"4e-03"
"BP","coherence_magnitude",60.3,12.1,"3e-04"
"BP","power_envelope_corr",60.2,10.9,"7e-04"
"BP","PSI_frequency",59.5,11.2,"1e-04"
"BP","transfer_entropy",58,9.6,"5e-07"
"BP","ANM",57.3,9.4,"4e-05"
"BP","barycenter_DTW",56.5,11.4,"6e-03"
"BP","spectral_GC",54.5,9.7,"1e-02"
"ASD","Pearson",59.4,4.5,"2e-08"
"ASD","phi_star",58.7,4.2,"2e-07"
"ASD","DI",57.1,4.5,"2e-05"
"ASD","DTW",57.1,5.3,"3e-06"
"ASD","power_envelope_corr",56.6,4.3,"3e-05"
"ASD","barycenter_DTW",56.3,4.9,"8e-05"
"ASD","transfer_entropy",55.9,4.2,"3e-04"
"ASD","cointegration",55.1,4.8,"1e-03"
"ASD","PSI_frequency",54.8,4.5,"1e-03"
"ASD","ANM",54.7,4.3,"3e-03"
"ASD","PSI_time_frequency",54.3,4.3,"3e-03"
"ASD","coherence_magnitude",54.2,4.8,"6e-03"
"ASD","PLI",53.7,4.7,"1e-02"
"ASD","spectral_GC",52.7,4,"5e-02"
