"Disorder","Brain Region","Volume Beta Coefficient","Holm--Bonferroni p-value"
"SCZ","Left-Thalamus-Proper",-6.18103448275861,"0.476"
"SCZ","Left-Caudate",-5.01867816091956,"0.363"
"SCZ","Left-Putamen",-2.19683908045982,"1.000"
"SCZ","Left-Pallidum",-0.188218390804601,"1.000"
"SCZ","Left-Hippocampus",-1.74209770114942,"1.000"
"SCZ","Left-Amygdala",-0.797413793103448,"1.000"
"SCZ","Left-Accumbens-area",-0.166666666666666,"1.000"
"SCZ","Right-Thalamus-Proper",-5.33548850574707,"0.447"
"SCZ","Right-Caudate",-0.66882183908046,"1.000"
"SCZ","Right-Putamen",-0.900143678160977,"1.000"
"SCZ","Right-Pallidum",-0.543103448275876,"1.000"
"SCZ","Right-Hippocampus",-1.73204022988507,"1.000"
"SCZ","Right-Amygdala",-0.776580459770112,"1.000"
"SCZ","Right-Accumbens-area",-0.339798850574709,"1.000"
"SCZ","ctx-lh-caudalanteriorcingulate",-5.7543103448276,"1.000"
"SCZ","ctx-lh-caudalmiddlefrontal",-14.8469827586206,"0.456"
"SCZ","ctx-lh-cuneus",-0.92744252873562,"1.000"
"SCZ","ctx-lh-entorhinal",1.54382183908046,"1.000"
"SCZ","ctx-lh-fusiform",-0.511494252873463,"1.000"
"SCZ","ctx-lh-inferiorparietal",-6.23132183908046,"1.000"
"SCZ","ctx-lh-inferiortemporal",-18.2614942528735,"0.636"
"SCZ","ctx-lh-isthmuscingulate",-1.47557471264369,"1.000"
"SCZ","ctx-lh-lateraloccipital",-10.5186781609196,"1.000"
"SCZ","ctx-lh-lateralorbitofrontal",-9.33045977011491,"0.403"
"SCZ","ctx-lh-lingual",-11.4913793103448,"0.851"
"SCZ","ctx-lh-medialorbitofrontal",1.65948275862067,"1.000"
"SCZ","ctx-lh-middletemporal",-29.6566091954022,"0.010"
"SCZ","ctx-lh-parahippocampal",0.905172413793113,"1.000"
"SCZ","ctx-lh-paracentral",-3.21839080459771,"1.000"
"SCZ","ctx-lh-parsopercularis",-2.99497126436783,"1.000"
"SCZ","ctx-lh-parsorbitalis",-0.602729885057459,"1.000"
"SCZ","ctx-lh-parstriangularis",-3.14008620689655,"1.000"
"SCZ","ctx-lh-pericalcarine",-0.833333333333309,"1.000"
"SCZ","ctx-lh-postcentral",-8.50933908045968,"1.000"
"SCZ","ctx-lh-posteriorcingulate",-1.27370689655173,"1.000"
"SCZ","ctx-lh-precentral",-17.3146551724137,"0.403"
"SCZ","ctx-lh-precuneus",-12.2938218390805,"1.000"
"SCZ","ctx-lh-rostralanteriorcingulate",-3.81896551724137,"1.000"
"SCZ","ctx-lh-rostralmiddlefrontal",-11.635775862069,"1.000"
"SCZ","ctx-lh-superiorfrontal",-23.6975574712643,"1.000"
"SCZ","ctx-lh-superiorparietal",-16.0905172413792,"1.000"
"SCZ","ctx-lh-superiortemporal",-29.3433908045977,"0.005"
"SCZ","ctx-lh-supramarginal",-11.5495689655172,"1.000"
"SCZ","ctx-lh-transversetemporal",-0.152298850574709,"1.000"
"SCZ","ctx-lh-insula",-5.1458333333333,"0.373"
"SCZ","ctx-rh-caudalanteriorcingulate",-4.38362068965513,"1.000"
"SCZ","ctx-rh-caudalmiddlefrontal",-7.56537356321842,"1.000"
"SCZ","ctx-rh-cuneus",-4.16091954022986,"1.000"
"SCZ","ctx-rh-entorhinal",-0.212643678160912,"1.000"
"SCZ","ctx-rh-fusiform",-9.28879310344815,"1.000"
"SCZ","ctx-rh-inferiorparietal",-3.63577586206893,"1.000"
"SCZ","ctx-rh-inferiortemporal",-13.1242816091953,"1.000"
"SCZ","ctx-rh-isthmuscingulate",-1.92097701149425,"1.000"
"SCZ","ctx-rh-lateraloccipital",-5.75862068965515,"1.000"
"SCZ","ctx-rh-lateralorbitofrontal",-6.66235632183904,"1.000"
"SCZ","ctx-rh-lingual",-8.86637931034481,"1.000"
"SCZ","ctx-rh-medialorbitofrontal",-2.1551724137931,"1.000"
"SCZ","ctx-rh-middletemporal",-21.6271551724138,"0.136"
"SCZ","ctx-rh-parahippocampal",-3.39367816091954,"1.000"
"SCZ","ctx-rh-paracentral",-2.32471264367816,"1.000"
"SCZ","ctx-rh-parsopercularis",-8.02155172413793,"1.000"
