Region,Iteration,Average Accuracy
0.0,0.0,50.2023
0.0,1.0,53.443180000000005
0.0,2.0,50.17052
0.0,3.0,54.62258
0.0,4.0,41.18954000000001
0.0,5.0,53.15946000000001
0.0,6.0,52.00314
0.0,7.0,48.25668000000001
0.0,8.0,53.38684
0.0,9.0,52.37584
0.0,10.0,51.184940000000005
0.0,11.0,49.42222
0.0,12.0,47.16772
0.0,13.0,51.30556000000001
0.0,14.0,40.265119999999996
0.0,15.0,50.415800000000004
0.0,16.0,51.93336
0.0,17.0,46.6425
0.0,18.0,51.903059999999996
0.0,19.0,44.745580000000004
0.0,20.0,48.9655
0.0,21.0,48.35068
0.0,22.0,48.174839999999996
0.0,23.0,58.64902000000001
0.0,24.0,51.05552
0.0,25.0,44.654619999999994
0.0,26.0,46.465320000000006
0.0,27.0,50.31614
0.0,28.0,48.48947999999999
0.0,29.0,46.374179999999996
0.0,30.0,48.69238000000001
0.0,31.0,50.269119999999994
0.0,32.0,46.90194
0.0,33.0,50.449679999999994
0.0,34.0,57.537639999999996
0.0,35.0,56.87028
0.0,36.0,45.209
0.0,37.0,53.4923
0.0,38.0,55.32766
0.0,39.0,46.35322
0.0,40.0,54.546519999999994
0.0,41.0,46.9095
0.0,42.0,47.150459999999995
0.0,43.0,45.119099999999996
0.0,44.0,48.46716000000001
0.0,45.0,54.696979999999996
0.0,46.0,51.87714
0.0,47.0,48.20764
0.0,48.0,49.902100000000004
0.0,49.0,45.61554
0.0,50.0,41.97732
0.0,51.0,50.55184
0.0,52.0,56.071380000000005
0.0,53.0,45.25178
0.0,54.0,53.079119999999996
0.0,55.0,48.53925999999999
0.0,56.0,47.77106
0.0,57.0,51.5716
0.0,58.0,49.32558
0.0,59.0,50.93096
0.0,60.0,51.3198
0.0,61.0,55.01216
0.0,62.0,37.9735
0.0,63.0,51.754259999999995
0.0,64.0,45.93076
0.0,65.0,50.657340000000005
0.0,66.0,44.91478
0.0,67.0,46.60339999999999
0.0,68.0,51.739
0.0,69.0,48.735440000000004
0.0,70.0,57.6605
0.0,71.0,41.65584
0.0,72.0,50.991119999999995
0.0,73.0,55.53436
0.0,74.0,54.319739999999996
0.0,75.0,58.633
0.0,76.0,49.826420000000006
0.0,77.0,47.60775999999999
0.0,78.0,50.195339999999995
0.0,79.0,53.81774
0.0,80.0,49.47966
0.0,81.0,43.56325999999999
0.0,82.0,51.58294
0.0,83.0,40.54483999999999
0.0,84.0,53.732380000000006
0.0,85.0,53.196960000000004
0.0,86.0,59.791160000000005
0.0,87.0,50.441199999999995
0.0,88.0,58.4236
0.0,89.0,49.082899999999995
0.0,90.0,50.81958
0.0,91.0,54.53094
0.0,92.0,48.14424
0.0,93.0,47.756479999999996
0.0,94.0,53.00632
0.0,95.0,51.09424
0.0,96.0,50.72395999999999
0.0,97.0,55.38272
0.0,98.0,50.15956
0.0,99.0,54.52814
0.0,100.0,48.62794
0.0,101.0,38.608839999999994
0.0,102.0,52.91533999999999
0.0,103.0,51.653679999999994
0.0,104.0,46.41672
0.0,105.0,56.78418
0.0,106.0,45.28622
0.0,107.0,47.84833999999999
0.0,108.0,46.719460000000005
0.0,109.0,55.637
0.0,110.0,51.32688
0.0,111.0,53.85831999999999
0.0,112.0,47.4432
0.0,113.0,49.96028
0.0,114.0,47.20006000000001
0.0,115.0,50.093900000000005
0.0,116.0,51.73682000000001
0.0,117.0,50.924800000000005
0.0,118.0,50.192
0.0,119.0,49.692240000000005
0.0,120.0,54.06534
0.0,121.0,56.065979999999996
0.0,122.0,55.772059999999996
0.0,123.0,45.18526
0.0,124.0,50.83074
0.0,125.0,56.58616000000001
0.0,126.0,49.19686
0.0,127.0,53.95712
0.0,128.0,52.12344
0.0,129.0,49.09044
0.0,130.0,42.8335
0.0,131.0,44.91232
0.0,132.0,51.16418
0.0,133.0,51.96368000000001
0.0,134.0,48.62336
0.0,135.0,51.68992
0.0,136.0,54.50864
0.0,137.0,53.43314
0.0,138.0,44.312940000000005
0.0,139.0,51.44161999999999
0.0,140.0,61.8932
0.0,141.0,57.29574
0.0,142.0,53.3658
0.0,143.0,49.196740000000005
0.0,144.0,49.654979999999995
0.0,145.0,51.67996000000001
0.0,146.0,44.829440000000005
0.0,147.0,52.16852
0.0,148.0,51.95572
0.0,149.0,58.33652
0.0,150.0,52.7341
0.0,151.0,47.196160000000006
0.0,152.0,47.81218
0.0,153.0,52.0301
0.0,154.0,44.435379999999995
0.0,155.0,43.874840000000006
0.0,156.0,51.88498
0.0,157.0,44.62272
0.0,158.0,52.24247999999999
0.0,159.0,54.266380000000005
0.0,160.0,53.8455
0.0,161.0,48.885200000000005
0.0,162.0,43.779399999999995
0.0,163.0,49.603660000000005
0.0,164.0,48.3078
0.0,165.0,53.68466
0.0,166.0,50.35112
0.0,167.0,45.11993999999999
0.0,168.0,56.93414
0.0,169.0,56.769259999999996
0.0,170.0,54.9877
0.0,171.0,43.13742
0.0,172.0,48.27102
0.0,173.0,50.128
0.0,174.0,58.97003999999999
0.0,175.0,47.005320000000005
0.0,176.0,47.30331999999999
0.0,177.0,48.71832
0.0,178.0,47.3628
0.0,179.0,53.123479999999994
0.0,180.0,50.945119999999996
0.0,181.0,44.4556
0.0,182.0,47.82144
0.0,183.0,60.8815
0.0,184.0,43.45678
0.0,185.0,45.751
0.0,186.0,48.38698
0.0,187.0,52.781620000000004
0.0,188.0,46.031940000000006
0.0,189.0,44.70784
0.0,190.0,46.2558
0.0,191.0,56.57646
0.0,192.0,52.86664
0.0,193.0,48.673880000000004
0.0,194.0,50.70754
0.0,195.0,50.86448
0.0,196.0,54.746379999999995
0.0,197.0,43.081480000000006
0.0,198.0,57.82232
0.0,199.0,53.18903999999999
0.0,200.0,56.04786
0.0,201.0,50.305020000000006
0.0,202.0,50.229639999999996
0.0,203.0,49.041979999999995
0.0,204.0,46.26520000000001
0.0,205.0,45.874739999999996
0.0,206.0,50.34652
0.0,207.0,46.04666
0.0,208.0,51.102019999999996
0.0,209.0,63.27998
0.0,210.0,47.23878
0.0,211.0,49.51608
0.0,212.0,47.53072
0.0,213.0,48.072919999999996
0.0,214.0,47.344559999999994
0.0,215.0,50.83786
0.0,216.0,51.337360000000004
0.0,217.0,49.64466
0.0,218.0,45.3745
0.0,219.0,59.601620000000004
0.0,220.0,49.61006
0.0,221.0,48.15906
0.0,222.0,48.49325999999999
0.0,223.0,49.220699999999994
0.0,224.0,47.49810000000001
0.0,225.0,51.37708
0.0,226.0,49.218599999999995
0.0,227.0,53.542
0.0,228.0,43.684160000000006
0.0,229.0,53.50816
0.0,230.0,44.56316
0.0,231.0,52.08142
0.0,232.0,40.830540000000006
0.0,233.0,40.62854
0.0,234.0,48.14502
0.0,235.0,49.08934
0.0,236.0,47.757979999999996
0.0,237.0,46.59936
0.0,238.0,47.06198
0.0,239.0,54.625020000000006
0.0,240.0,50.84139999999999
0.0,241.0,47.90148000000001
0.0,242.0,53.59035999999999
0.0,243.0,45.49276
0.0,244.0,46.432900000000004
0.0,245.0,49.508199999999995
0.0,246.0,49.3175
0.0,247.0,51.6426
0.0,248.0,51.532880000000006
0.0,249.0,49.254659999999994
0.0,250.0,52.24488
0.0,251.0,51.3883
0.0,252.0,53.09244
0.0,253.0,49.096199999999996
0.0,254.0,44.95328
0.0,255.0,49.97786
0.0,256.0,52.77558
0.0,257.0,47.358740000000004
0.0,258.0,46.20210000000001
0.0,259.0,52.021939999999994
0.0,260.0,46.07136
0.0,261.0,51.49926
0.0,262.0,48.07296000000001
0.0,263.0,47.06738
0.0,264.0,44.991479999999996
0.0,265.0,49.741119999999995
0.0,266.0,55.0653
0.0,267.0,44.556059999999995
0.0,268.0,51.39138
0.0,269.0,53.02358
0.0,270.0,54.70816000000001
0.0,271.0,54.059419999999996
0.0,272.0,48.178599999999996
0.0,273.0,57.55064
0.0,274.0,49.98256
