index,group_var,Classifier_Type,Analysis_Type,Disorder,Balanced_Accuracy,Balanced_Accuracy_SD,Study,p_value,p_value_HolmBonferroni,p_value_BenjaminiHochberg
185,Left-Caudate,Linear_SVM_sklearn,Brain_Region,BP,65.21666666666667,0.11972888320092155,UCLA_CNP,0.000688577900605135,0.05577480994901593,0.02554055936862407
189,Left-Thalamus-Proper,Linear_SVM_sklearn,Brain_Region,BP,65.11363636363636,0.11866002568497876,UCLA_CNP,0.0009344107086081977,0.07475285668865582,0.02554055936862407
193,Right-Hippocampus,Linear_SVM_sklearn,Brain_Region,BP,67.41515151515152,0.14373405681467666,UCLA_CNP,0.00020209009594034173,0.01657138786710802,0.01657138786710802
240,ctx-rh-insula,Linear_SVM_sklearn,Brain_Region,BP,63.30681818181818,0.1268396994028044,UCLA_CNP,0.002258442885425819,0.1784169879486397,0.046298079151229285
297,Left-Thalamus-Proper,Linear_SVM_sklearn,Brain_Region,SCZ,61.46515151515152,0.12871656770024031,UCLA_CNP,0.007276693206075286,0.44387828557059245,0.025657474673804283
299,Right-Amygdala,Linear_SVM_sklearn,Brain_Region,SCZ,65.27575757575758,0.11990686111016212,UCLA_CNP,0.001072888592057197,0.07510220144400379,0.006767451119130012
300,Right-Caudate,Linear_SVM_sklearn,Brain_Region,SCZ,60.44848484848484,0.11918592107987601,UCLA_CNP,0.019513774389396322,0.9952024938592124,0.04876935969359149
305,ctx-lh-bankssts,Linear_SVM_sklearn,Brain_Region,SCZ,67.01818181818182,0.10753670876967665,UCLA_CNP,0.0003595173545265514,0.027323318944017908,0.004211489010168173
306,ctx-lh-caudalanteriorcingulate,Linear_SVM_sklearn,Brain_Region,SCZ,65.71666666666667,0.12541498857344777,UCLA_CNP,0.0006460294239761072,0.04780617737423193,0.005486029567100883
308,ctx-lh-cuneus,Linear_SVM_sklearn,Brain_Region,SCZ,67.59166666666667,0.11248546333523825,UCLA_CNP,0.00021783968183980532,0.016991495183504814,0.0035725707821728067
312,ctx-lh-inferiorparietal,Linear_SVM_sklearn,Brain_Region,SCZ,61.759848484848476,0.12224706692024251,UCLA_CNP,0.007508658388307192,0.4505195032984315,0.025657474673804283
313,ctx-lh-inferiortemporal,Linear_SVM_sklearn,Brain_Region,SCZ,60.33030303030302,0.12124485516067052,UCLA_CNP,0.016856127122385964,0.8978412026654072,0.044587174968891904
314,ctx-lh-insula,Linear_SVM_sklearn,Brain_Region,SCZ,65.15151515151516,0.1242855308318949,UCLA_CNP,0.0006006769952824397,0.04505077464618298,0.005486029567100883
316,ctx-lh-lateraloccipital,Linear_SVM_sklearn,Brain_Region,SCZ,65.3030303030303,0.10641600561970085,UCLA_CNP,0.0008869317515927292,0.06297215436308377,0.006060700302550316
318,ctx-lh-lingual,Linear_SVM_sklearn,Brain_Region,SCZ,64.1659090909091,0.12761377588309772,UCLA_CNP,0.0027994954906300387,0.1875661978722126,0.014347414389478948
321,ctx-lh-paracentral,Linear_SVM_sklearn,Brain_Region,SCZ,59.858333333333334,0.13750768495145452,UCLA_CNP,0.019626693535225843,0.9952024938592124,0.04876935969359149
326,ctx-lh-pericalcarine,Linear_SVM_sklearn,Brain_Region,SCZ,72.66136363636363,0.11209973481826993,UCLA_CNP,2.8406762115926325e-06,0.00023293544935059585,0.00023293544935059585
