Feature,Accuracy,Feat Error
12,59.31,10.64474612191385
9,59.07199999999999,17.250594076726745
21,58.713,14.898126761442189
22,58.141999999999996,10.106399754610935
11,58.07000000000001,11.791794604724082
7,57.977,15.294145317735149
17,57.238,14.043537873342315
6,57.141,17.02619713852744
1,56.855999999999995,12.897390588797407
3,56.593999999999994,13.930740253123666
8,56.403999999999996,12.639550783156812
13,56.403999999999996,14.358258390208752
18,55.523,17.986926391131977
14,54.52399999999999,18.575656758241415
4,52.379999999999995,10.200513712553892
2,52.048,15.369986206890362
16,51.166,14.55264663214221
10,49.332,11.481140013082326
19,48.95099999999999,15.092229424442234
5,46.595,12.302903112680356
15,44.501,15.356697203500495
20,44.142,10.81318435984516
