"Site_Number","Analysis","Model","Balanced Accuracy","SD"
5,"Brain_Region","Angular_Gyrus",58,18.2
5,"Brain_Region","Central_Opercular_Cortex",49.9,16.6
5,"Brain_Region","Cingulate_Gyrus_anterior_division",56.8,17.3
5,"Brain_Region","Cingulate_Gyrus_posterior_division",44.4,17.1
5,"Brain_Region","Cuneal_Cortex",63.8,16.3
5,"Brain_Region","Frontal_Medial_Cortex",40.2,16.7
5,"Brain_Region","Frontal_Operculum_Cortex",53,18.3
5,"Brain_Region","Frontal_Orbital_Cortex",34.6,15.3
5,"Brain_Region","Frontal_Pole",46.3,15.2
5,"Brain_Region","Heschls_Gyrus_includes_H1_and_H2",58.2,17
5,"Brain_Region","Inferior_Frontal_Gyrus_pars_opercularis",47.2,17
5,"Brain_Region","Inferior_Frontal_Gyrus_pars_triangularis",51.6,16.1
5,"Brain_Region","Inferior_Temporal_Gyrus_anterior_division",52.3,18.2
5,"Brain_Region","Inferior_Temporal_Gyrus_posterior_division",54.2,17.9
5,"Brain_Region","Inferior_Temporal_Gyrus_temporooccipital_part",48.2,17.2
5,"Brain_Region","Insular_Cortex",60.3,15.5
5,"Brain_Region","Intracalcarine_Cortex",51.4,17.4
5,"Brain_Region","Juxtapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex)",42.1,18
5,"Brain_Region","Lateral_Occipital_Cortex_inferior_division",53.5,18.1
5,"Brain_Region","Lateral_Occipital_Cortex_superior_division",53.9,17.4
5,"Brain_Region","Lingual_Gyrus",57.9,15.8
5,"Brain_Region","Middle_Frontal_Gyrus",41.6,18.1
5,"Brain_Region","Middle_Temporal_Gyrus_anterior_division",62.4,18.8
5,"Brain_Region","Middle_Temporal_Gyrus_posterior_division",53.1,17.3
5,"Brain_Region","Middle_Temporal_Gyrus_temporooccipital_part",47.9,17.7
5,"Brain_Region","Occipital_Fusiform_Gyrus",56.8,16.7
5,"Brain_Region","Occipital_Pole",55.2,17.3
5,"Brain_Region","Paracingulate_Gyrus",62.3,18.6
5,"Brain_Region","Parahippocampal_Gyrus_anterior_division",52,16.6
5,"Brain_Region","Parahippocampal_Gyrus_posterior_division",51.6,14.8
5,"Brain_Region","Parietal_Operculum_Cortex",45.4,16.7
5,"Brain_Region","Planum_Polare",57.5,19.7
5,"Brain_Region","Planum_Temporale",53.3,18.4
5,"Brain_Region","Postcentral_Gyrus",39.5,14.5
5,"Brain_Region","Precentral_Gyrus",45.4,18
5,"Brain_Region","Precuneous_Cortex",57,18.2
5,"Brain_Region","Subcallosal_Cortex",41.4,15.4
5,"Brain_Region","Superior_Frontal_Gyrus",45.3,18.5
5,"Brain_Region","Superior_Parietal_Lobule",43.7,16
5,"Brain_Region","Superior_Temporal_Gyrus_anterior_division",50.9,17.9
5,"Brain_Region","Superior_Temporal_Gyrus_posterior_division",60.6,17.1
5,"Brain_Region","Supracalcarine_Cortex",55.9,16.3
5,"Brain_Region","Supramarginal_Gyrus_anterior_division",48.1,18.1
5,"Brain_Region","Supramarginal_Gyrus_posterior_division",53.9,17.8
5,"Brain_Region","Temporal_Fusiform_Cortex_anterior_division",56.9,17
5,"Brain_Region","Temporal_Fusiform_Cortex_posterior_division",47.3,19.5
5,"Brain_Region","Temporal_Occipital_Fusiform_Cortex",53.3,18.6
5,"Brain_Region","Temporal_Pole",46.6,17
20,"Brain_Region","Angular_Gyrus",42.7,15.9
20,"Brain_Region","Central_Opercular_Cortex",49.7,14.4
20,"Brain_Region","Cingulate_Gyrus_anterior_division",53.1,13.6
20,"Brain_Region","Cingulate_Gyrus_posterior_division",47.7,13.4
20,"Brain_Region","Cuneal_Cortex",57.1,15.7
20,"Brain_Region","Frontal_Medial_Cortex",52,15.3
20,"Brain_Region","Frontal_Operculum_Cortex",48.1,15
20,"Brain_Region","Frontal_Orbital_Cortex",43.2,14
20,"Brain_Region","Frontal_Pole",48.5,13.5
20,"Brain_Region","Heschls_Gyrus_includes_H1_and_H2",48.2,14.4
20,"Brain_Region","Inferior_Frontal_Gyrus_pars_opercularis",41,15.3
20,"Brain_Region","Inferior_Frontal_Gyrus_pars_triangularis",37.4,13.8
20,"Brain_Region","Inferior_Temporal_Gyrus_anterior_division",49.6,16.5
20,"Brain_Region","Inferior_Temporal_Gyrus_posterior_division",55.3,11.8
20,"Brain_Region","Inferior_Temporal_Gyrus_temporooccipital_part",47,15.1
20,"Brain_Region","Insular_Cortex",39.6,14.7
20,"Brain_Region","Intracalcarine_Cortex",51.8,15.2
20,"Brain_Region","Juxtapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex)",44.8,16.1
