"Study","Disorder","Analysis","Fold","Repeat","Balanced Accuracy","group_var"
"ABIDE","ASD","Brain_Region",1,1,53.5,"Parahippocampal_Gyrus_posterior_division"
"ABIDE","ASD","Brain_Region",1,2,48.9,"Frontal_Operculum_Cortex"
"ABIDE","ASD","Brain_Region",1,3,51.7,"Planum_Temporale"
"ABIDE","ASD","Brain_Region",1,4,49.5,"Parahippocampal_Gyrus_anterior_division"
"ABIDE","ASD","Brain_Region",1,5,49.9,"Planum_Temporale"
"ABIDE","ASD","Brain_Region",1,6,46.4,"Parahippocampal_Gyrus_anterior_division"
"ABIDE","ASD","Brain_Region",1,7,47.8,"Parahippocampal_Gyrus_posterior_division"
"ABIDE","ASD","Brain_Region",1,8,46.9,"Paracingulate_Gyrus"
"ABIDE","ASD","Brain_Region",1,9,54.3,"Inferior_Temporal_Gyrus_posterior_division"
"ABIDE","ASD","Brain_Region",1,10,52.3,"Planum_Temporale"
"ABIDE","ASD","Brain_Region",2,1,50.6,"Planum_Temporale"
"ABIDE","ASD","Brain_Region",2,2,52.8,"Planum_Temporale"
"ABIDE","ASD","Brain_Region",2,3,52.3,"Planum_Temporale"
"ABIDE","ASD","Brain_Region",2,4,44.6,"Superior_Frontal_Gyrus"
"ABIDE","ASD","Brain_Region",2,5,44,"Frontal_Operculum_Cortex"
"ABIDE","ASD","Brain_Region",2,6,48.6,"Planum_Temporale"
"ABIDE","ASD","Brain_Region",2,7,52.8,"Superior_Temporal_Gyrus_anterior_division"
"ABIDE","ASD","Brain_Region",2,8,54.6,"Parahippocampal_Gyrus_anterior_division"
"ABIDE","ASD","Brain_Region",2,9,45,"Inferior_Temporal_Gyrus_posterior_division"
"ABIDE","ASD","Brain_Region",2,10,54.8,"Inferior_Temporal_Gyrus_posterior_division"
"ABIDE","ASD","Brain_Region",3,1,48.6,"Inferior_Frontal_Gyrus_pars_triangularis"
"ABIDE","ASD","Brain_Region",3,2,48.9,"Inferior_Temporal_Gyrus_posterior_division"
"ABIDE","ASD","Brain_Region",3,3,56.9,"Parahippocampal_Gyrus_posterior_division"
"ABIDE","ASD","Brain_Region",3,4,50.8,"Inferior_Temporal_Gyrus_anterior_division"
"ABIDE","ASD","Brain_Region",3,5,51.8,"Inferior_Temporal_Gyrus_posterior_division Inferior_Frontal_Gyrus_pars_opercularis"
"ABIDE","ASD","Brain_Region",3,6,55.5,"Parahippocampal_Gyrus_posterior_division"
"ABIDE","ASD","Brain_Region",3,7,48.5,"Inferior_Frontal_Gyrus_pars_triangularis"
"ABIDE","ASD","Brain_Region",3,8,46.7,"Precuneous_Cortex"
"ABIDE","ASD","Brain_Region",3,9,47.1,"Parahippocampal_Gyrus_anterior_division"
"ABIDE","ASD","Brain_Region",3,10,52.1,"Planum_Temporale"
"ABIDE","ASD","Brain_Region",4,1,53.9,"Inferior_Frontal_Gyrus_pars_triangularis"
