"index","Study","Disorder","Balanced_Accuracy","Balanced_Accuracy_SD","Confounds","Feature_Type","Analysis_Type","group_var"
0,"ABIDE","ASD",0.507444899989872,0.0340385681467912,"Age","Confounds_Only",NA,NA
1,"ABIDE","ASD",0.529770108099082,0.0368871264872885,"Age+Sex","Confounds_Only",NA,NA
2,"ABIDE","ASD",0.529770108099082,0.0368871264872885,"Age+Sex+FD","Confounds_Only",NA,NA
3,"ABIDE","ASD",0.511775665662049,0.0410880949239429,"FD","Confounds_Only",NA,NA
4,"ABIDE","ASD",0.529770108099082,0.0368871264872885,"Sex","Confounds_Only",NA,NA
5,"UCLA_CNP","ADHD",0.411893939393939,0.101419081359094,"Age","Confounds_Only",NA,NA
6,"UCLA_CNP","ADHD",0.384431818181818,0.107588925967092,"Age+Sex","Confounds_Only",NA,NA
7,"UCLA_CNP","ADHD",0.372462121212121,0.115066068645406,"Age+Sex+FD","Confounds_Only",NA,NA
8,"UCLA_CNP","ADHD",0.466969696969697,0.0999109156027069,"FD","Confounds_Only",NA,NA
9,"UCLA_CNP","ADHD",0.426818181818182,0.0959004940995098,"Sex","Confounds_Only",NA,NA
10,"UCLA_CNP","BP",0.620810606060606,0.128882617659567,"Age","Confounds_Only",NA,NA
11,"UCLA_CNP","BP",0.615560606060606,0.131333632820716,"Age+Sex","Confounds_Only",NA,NA
12,"UCLA_CNP","BP",0.612333333333333,0.135392037408689,"Age+Sex+FD","Confounds_Only",NA,NA
13,"UCLA_CNP","BP",0.611462121212121,0.144051542950006,"FD","Confounds_Only",NA,NA
14,"UCLA_CNP","BP",0.447106060606061,0.116246245173079,"Sex","Confounds_Only",NA,NA
15,"UCLA_CNP","SCZ",0.620219696969697,0.133622445435085,"Age","Confounds_Only",NA,NA
16,"UCLA_CNP","SCZ",0.56680303030303,0.104979700170754,"Age+Sex","Confounds_Only",NA,NA
17,"UCLA_CNP","SCZ",0.705272727272727,0.117316341115542,"Age+Sex+FD","Confounds_Only",NA,NA
18,"UCLA_CNP","SCZ",0.743181818181818,0.110536486833457,"FD","Confounds_Only",NA,NA
19,"UCLA_CNP","SCZ",0.607136363636364,0.113647901669117,"Sex","Confounds_Only",NA,NA
0,"ABIDE","ASD",0.489225335534186,0.0390455152697809,"Age+Sex","Features+Confounds","Brain_Region","Angular_Gyrus"
1,"ABIDE","ASD",0.528845076003318,0.0441134576244253,"Age+Sex","Features+Confounds","Brain_Region","Central_Opercular_Cortex"
2,"ABIDE","ASD",0.522403935118652,0.0462314871330697,"Age+Sex","Features+Confounds","Brain_Region","Cingulate_Gyrus_anterior_division"
3,"ABIDE","ASD",0.520302370843633,0.0415591506244683,"Age+Sex","Features+Confounds","Brain_Region","Cingulate_Gyrus_posterior_division"
4,"ABIDE","ASD",0.524584801252625,0.0445061028433635,"Age+Sex","Features+Confounds","Brain_Region","Cuneal_Cortex"
5,"ABIDE","ASD",0.528833281323139,0.0430493972349094,"Age+Sex","Features+Confounds","Brain_Region","Frontal_Medial_Cortex"
6,"ABIDE","ASD",0.543265720081136,0.0424722674019049,"Age+Sex","Features+Confounds","Brain_Region","Frontal_Operculum_Cortex"
7,"ABIDE","ASD",0.54023178753562,0.0433359818115528,"Age+Sex","Features+Confounds","Brain_Region","Frontal_Orbital_Cortex"
8,"ABIDE","ASD",0.529088463180889,0.0509692483824831,"Age+Sex","Features+Confounds","Brain_Region","Frontal_Pole"
9,"ABIDE","ASD",0.50589527679004,0.0403036982752558,"Age+Sex","Features+Confounds","Brain_Region","Heschls_Gyrus_includes_H1_and_H2"
10,"ABIDE","ASD",0.523967156246835,0.0421791106587052,"Age+Sex","Features+Confounds","Brain_Region","Inferior_Frontal_Gyrus_pars_opercularis"
11,"ABIDE","ASD",0.545514894077134,0.0472617025215934,"Age+Sex","Features+Confounds","Brain_Region","Inferior_Frontal_Gyrus_pars_triangularis"
12,"ABIDE","ASD",0.546521311861335,0.0436742573161517,"Age+Sex","Features+Confounds","Brain_Region","Inferior_Temporal_Gyrus_anterior_division"
13,"ABIDE","ASD",0.550843146835727,0.0405021027709912,"Age+Sex","Features+Confounds","Brain_Region","Inferior_Temporal_Gyrus_posterior_division"
14,"ABIDE","ASD",0.517646069945499,0.0442321669535217,"Age+Sex","Features+Confounds","Brain_Region","Inferior_Temporal_Gyrus_temporooccipital_part"
15,"ABIDE","ASD",0.53371397609721,0.0459027870572426,"Age+Sex","Features+Confounds","Brain_Region","Insular_Cortex"
16,"ABIDE","ASD",0.51276236063321,0.0493472293157191,"Age+Sex","Features+Confounds","Brain_Region","Intracalcarine_Cortex"
17,"ABIDE","ASD",0.517181122763219,0.0434815622338852,"Age+Sex","Features+Confounds","Brain_Region","Juxtapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex)"
18,"ABIDE","ASD",0.531267738213532,0.0443329188212764,"Age+Sex","Features+Confounds","Brain_Region","Lateral_Occipital_Cortex_inferior_division"
19,"ABIDE","ASD",0.513259783391229,0.0371066545167378,"Age+Sex","Features+Confounds","Brain_Region","Lateral_Occipital_Cortex_superior_division"
20,"ABIDE","ASD",0.500344136398102,0.0459384430394034,"Age+Sex","Features+Confounds","Brain_Region","Lingual_Gyrus"
21,"ABIDE","ASD",0.54615741843296,0.0401358839315745,"Age+Sex","Features+Confounds","Brain_Region","Middle_Frontal_Gyrus"
22,"ABIDE","ASD",0.508498985801217,0.0461056632021773,"Age+Sex","Features+Confounds","Brain_Region","Middle_Temporal_Gyrus_anterior_division"
23,"ABIDE","ASD",0.520655605603962,0.0427126349655207,"Age+Sex","Features+Confounds","Brain_Region","Middle_Temporal_Gyrus_posterior_division"
24,"ABIDE","ASD",0.534424438768946,0.0464803214090216,"Age+Sex","Features+Confounds","Brain_Region","Middle_Temporal_Gyrus_temporooccipital_part"
25,"ABIDE","ASD",0.521431611385305,0.0424324071634008,"Age+Sex","Features+Confounds","Brain_Region","Occipital_Fusiform_Gyrus"
26,"ABIDE","ASD",0.519885546777695,0.0465287031447125,"Age+Sex","Features+Confounds","Brain_Region","Occipital_Pole"
27,"ABIDE","ASD",0.530300916611235,0.0468085887084072,"Age+Sex","Features+Confounds","Brain_Region","Paracingulate_Gyrus"
28,"ABIDE","ASD",0.544581636158582,0.0445653260039737,"Age+Sex","Features+Confounds","Brain_Region","Parahippocampal_Gyrus_anterior_division"
29,"ABIDE","ASD",0.551633917353064,0.0454092160274165,"Age+Sex","Features+Confounds","Brain_Region","Parahippocampal_Gyrus_posterior_division"
30,"ABIDE","ASD",0.528005696484932,0.0456193571337739,"Age+Sex","Features+Confounds","Brain_Region","Parietal_Operculum_Cortex"
31,"ABIDE","ASD",0.520608396087738,0.0510762604369209,"Age+Sex","Features+Confounds","Brain_Region","Planum_Polare"
32,"ABIDE","ASD",0.537597419883771,0.0432858954054272,"Age+Sex","Features+Confounds","Brain_Region","Planum_Temporale"
