"Study","Disorder","Analysis","Model name","Age and Sex","BOLD Features","Age, Sex, and BOLD Features"
"UCLA_CNP","SCZ","catch25_feature","embedding_dist",56.7,62.2,67.3
"UCLA_CNP","SCZ","catch25_feature","ACF_first_min",56.7,54.4,56.9
"UCLA_CNP","SCZ","catch25_feature","AMI2",56.7,57,60.2
"UCLA_CNP","SCZ","catch25_feature","ACF_timescale",56.7,59.8,61.3
"UCLA_CNP","SCZ","catch25_feature","trev",56.7,41.8,50
"UCLA_CNP","SCZ","Univariate_Combo","Combo",56.7,69.5,69.4
"UCLA_CNP","SCZ","catch25_feature","mode_10",56.7,48.1,57.5
"UCLA_CNP","SCZ","catch25_feature","mode_5",56.7,52.8,53.3
"UCLA_CNP","SCZ","catch25_feature","mean",56.7,63.5,64.5
"UCLA_CNP","SCZ","catch25_feature","outlier_timing_neg",56.7,50.3,54.6
"UCLA_CNP","SCZ","catch25_feature","outlier_timing_pos",56.7,50.9,54.6
"UCLA_CNP","SCZ","catch25_feature","SD",56.7,69.8,69.3
"UCLA_CNP","SCZ","catch25_feature","whiten_timescale",56.7,55.5,60
"UCLA_CNP","SCZ","catch25_feature","forecast_error",56.7,56.2,55
"UCLA_CNP","SCZ","catch25_feature","AMI_timescale",56.7,46.5,56.8
"UCLA_CNP","SCZ","Brain_Region","Left-Accumbens-area",56.7,57.3,64.9
"UCLA_CNP","SCZ","Brain_Region","Left-Amygdala",56.7,57.1,64.2
"UCLA_CNP","SCZ","Brain_Region","Left-Caudate",56.7,55.3,62.3
"UCLA_CNP","SCZ","Brain_Region","Left-Hippocampus",56.7,52.7,56
"UCLA_CNP","SCZ","Brain_Region","Left-Pallidum",56.7,49.8,55.7
"UCLA_CNP","SCZ","Brain_Region","Left-Putamen",56.7,59,63.1
"UCLA_CNP","SCZ","Brain_Region","Left-Thalamus-Proper",56.7,61.5,60.9
"UCLA_CNP","SCZ","catch25_feature","high_fluctuation",56.7,54.5,55.6
"UCLA_CNP","SCZ","catch25_feature","periodicity",56.7,64,62.1
"UCLA_CNP","SCZ","Brain_Region","Right-Accumbens-area",56.7,57.8,62.5
"UCLA_CNP","SCZ","Brain_Region","Right-Amygdala",56.7,65.3,66.9
"UCLA_CNP","SCZ","Brain_Region","Right-Caudate",56.7,60.4,64.9
"UCLA_CNP","SCZ","Brain_Region","Right-Hippocampus",56.7,58,65.6
"UCLA_CNP","SCZ","Brain_Region","Right-Pallidum",56.7,56.1,60
"UCLA_CNP","SCZ","Brain_Region","Right-Putamen",56.7,51.9,54.7
"UCLA_CNP","SCZ","Brain_Region","Right-Thalamus-Proper",56.7,57.4,62.1
"UCLA_CNP","SCZ","catch25_feature","stretch_decreasing",56.7,53.9,56.8
"UCLA_CNP","SCZ","catch25_feature","stretch_high",56.7,54,57.7
"UCLA_CNP","SCZ","catch25_feature","entropy_pairs",56.7,61.4,63.7
"UCLA_CNP","SCZ","catch25_feature","transition_variance",56.7,56.2,60.2
"UCLA_CNP","SCZ","catch25_feature","DFA",56.7,64.1,60
"UCLA_CNP","SCZ","catch25_feature","rs_range",56.7,54.9,59.6
"UCLA_CNP","SCZ","catch25_feature","low_freq_power",56.7,63.4,64.6
"UCLA_CNP","SCZ","catch25_feature","centroid_freq",56.7,60.9,62.7
"UCLA_CNP","SCZ","Brain_Region","ctx-lh-bankssts",56.7,67,70.4
"UCLA_CNP","SCZ","Brain_Region","ctx-lh-caudalanteriorcingulate",56.7,65.7,67.3
"UCLA_CNP","SCZ","Brain_Region","ctx-lh-caudalmiddlefrontal",56.7,59.1,59
"UCLA_CNP","SCZ","Brain_Region","ctx-lh-cuneus",56.7,67.6,69.6
"UCLA_CNP","SCZ","Brain_Region","ctx-lh-entorhinal",56.7,50.1,60.3
"UCLA_CNP","SCZ","Brain_Region","ctx-lh-frontalpole",56.7,59.3,64.1
"UCLA_CNP","SCZ","Brain_Region","ctx-lh-fusiform",56.7,55.5,59.9
"UCLA_CNP","SCZ","Brain_Region","ctx-lh-inferiorparietal",56.7,61.8,65.8
"UCLA_CNP","SCZ","Brain_Region","ctx-lh-inferiortemporal",56.7,60.3,64.6
"UCLA_CNP","SCZ","Brain_Region","ctx-lh-insula",56.7,65.2,63.2
"UCLA_CNP","SCZ","Brain_Region","ctx-lh-isthmuscingulate",56.7,58.3,64.4
"UCLA_CNP","SCZ","Brain_Region","ctx-lh-lateraloccipital",56.7,65.3,67.1
"UCLA_CNP","SCZ","Brain_Region","ctx-lh-lateralorbitofrontal",56.7,57,59.8
"UCLA_CNP","SCZ","Brain_Region","ctx-lh-lingual",56.7,64.2,69.3
"UCLA_CNP","SCZ","Brain_Region","ctx-lh-medialorbitofrontal",56.7,56.8,61.3
"UCLA_CNP","SCZ","Brain_Region","ctx-lh-middletemporal",56.7,47.6,55.4
"UCLA_CNP","SCZ","Brain_Region","ctx-lh-paracentral",56.7,59.9,59.2
"UCLA_CNP","SCZ","Brain_Region","ctx-lh-parahippocampal",56.7,53.4,62.3
"UCLA_CNP","SCZ","Brain_Region","ctx-lh-parsopercularis",56.7,56.8,60.9
"UCLA_CNP","SCZ","Brain_Region","ctx-lh-parsorbitalis",56.7,48.8,59.8
"UCLA_CNP","SCZ","Brain_Region","ctx-lh-parstriangularis",56.7,51.4,52.5
"UCLA_CNP","SCZ","Brain_Region","ctx-lh-pericalcarine",56.7,72.7,68.6
"UCLA_CNP","SCZ","Brain_Region","ctx-lh-postcentral",56.7,58.7,62.1
"UCLA_CNP","SCZ","Brain_Region","ctx-lh-posteriorcingulate",56.7,57.4,61.3
"UCLA_CNP","SCZ","Brain_Region","ctx-lh-precentral",56.7,58,64.5
"UCLA_CNP","SCZ","Brain_Region","ctx-lh-precuneus",56.7,68,68.9
"UCLA_CNP","SCZ","Brain_Region","ctx-lh-rostralanteriorcingulate",56.7,54.1,64.9
"UCLA_CNP","SCZ","Brain_Region","ctx-lh-rostralmiddlefrontal",56.7,52.9,56.4
"UCLA_CNP","SCZ","Brain_Region","ctx-lh-superiorfrontal",56.7,58.2,64.6
"UCLA_CNP","SCZ","Brain_Region","ctx-lh-superiorparietal",56.7,57.4,59.2
"UCLA_CNP","SCZ","Brain_Region","ctx-lh-superiortemporal",56.7,61.5,64.5
"UCLA_CNP","SCZ","Brain_Region","ctx-lh-supramarginal",56.7,61.6,61.3
"UCLA_CNP","SCZ","Brain_Region","ctx-lh-temporalpole",56.7,62.1,59.9
"UCLA_CNP","SCZ","Brain_Region","ctx-lh-transversetemporal",56.7,55.2,55.1
"UCLA_CNP","SCZ","Brain_Region","ctx-rh-bankssts",56.7,56.7,62.5
"UCLA_CNP","SCZ","Brain_Region","ctx-rh-caudalanteriorcingulate",56.7,58.9,71.9
"UCLA_CNP","SCZ","Brain_Region","ctx-rh-caudalmiddlefrontal",56.7,52.6,64.2
"UCLA_CNP","SCZ","Brain_Region","ctx-rh-cuneus",56.7,69.3,69.3
"UCLA_CNP","SCZ","Brain_Region","ctx-rh-entorhinal",56.7,56.6,64.6
"UCLA_CNP","SCZ","Brain_Region","ctx-rh-frontalpole",56.7,56.7,63.1
"UCLA_CNP","SCZ","Brain_Region","ctx-rh-fusiform",56.7,55.5,61.6
"UCLA_CNP","SCZ","Brain_Region","ctx-rh-inferiorparietal",56.7,57.4,60.4
"UCLA_CNP","SCZ","Brain_Region","ctx-rh-inferiortemporal",56.7,47.2,53.4
"UCLA_CNP","SCZ","Brain_Region","ctx-rh-insula",56.7,58.5,64.6
"UCLA_CNP","SCZ","Brain_Region","ctx-rh-isthmuscingulate",56.7,64.2,65.9
"UCLA_CNP","SCZ","Brain_Region","ctx-rh-lateraloccipital",56.7,67.6,68.7
"UCLA_CNP","SCZ","Brain_Region","ctx-rh-lateralorbitofrontal",56.7,61.5,67.9
"UCLA_CNP","SCZ","Brain_Region","ctx-rh-lingual",56.7,65.8,66
"UCLA_CNP","SCZ","Brain_Region","ctx-rh-medialorbitofrontal",56.7,60.7,67
"UCLA_CNP","SCZ","Brain_Region","ctx-rh-middletemporal",56.7,62.9,64.3
"UCLA_CNP","SCZ","Brain_Region","ctx-rh-paracentral",56.7,59.5,65
"UCLA_CNP","SCZ","Brain_Region","ctx-rh-parahippocampal",56.7,58.5,61
"UCLA_CNP","SCZ","Brain_Region","ctx-rh-parsopercularis",56.7,61.4,69
"UCLA_CNP","SCZ","Brain_Region","ctx-rh-parsorbitalis",56.7,57.5,63.5
"UCLA_CNP","SCZ","Brain_Region","ctx-rh-parstriangularis",56.7,58.8,62.3
"UCLA_CNP","SCZ","Brain_Region","ctx-rh-pericalcarine",56.7,66.6,68.4
"UCLA_CNP","SCZ","Brain_Region","ctx-rh-postcentral",56.7,64.6,70.7
"UCLA_CNP","SCZ","Brain_Region","ctx-rh-posteriorcingulate",56.7,60.1,62.7
"UCLA_CNP","SCZ","Brain_Region","ctx-rh-precentral",56.7,60.4,59.3
"UCLA_CNP","SCZ","Brain_Region","ctx-rh-precuneus",56.7,62.3,63.8
"UCLA_CNP","SCZ","Brain_Region","ctx-rh-rostralanteriorcingulate",56.7,47.3,53.6
"UCLA_CNP","SCZ","Brain_Region","ctx-rh-rostralmiddlefrontal",56.7,58.4,60.1
"UCLA_CNP","SCZ","Brain_Region","ctx-rh-superiorfrontal",56.7,59.9,66.8
"UCLA_CNP","SCZ","Brain_Region","ctx-rh-superiorparietal",56.7,59.7,61.8
"UCLA_CNP","SCZ","Brain_Region","ctx-rh-superiortemporal",56.7,64.1,65
"UCLA_CNP","SCZ","Brain_Region","ctx-rh-supramarginal",56.7,62.2,64.4
"UCLA_CNP","SCZ","Brain_Region","ctx-rh-temporalpole",56.7,46.2,57.7
"UCLA_CNP","SCZ","Brain_Region","ctx-rh-transversetemporal",56.7,62.4,66
"UCLA_CNP","SCZ","catch25_feature","fALFF",56.7,62.4,59.9
"UCLA_CNP","BP","catch25_feature","embedding_dist",61.6,62,61.1
"UCLA_CNP","BP","catch25_feature","ACF_first_min",61.6,48.3,47.1
"UCLA_CNP","BP","catch25_feature","AMI2",61.6,50.5,49
"UCLA_CNP","BP","catch25_feature","ACF_timescale",61.6,61.2,60.3
"UCLA_CNP","BP","catch25_feature","trev",61.6,56.1,53.7
"UCLA_CNP","BP","Univariate_Combo","Combo",61.6,69.8,69.4
"UCLA_CNP","BP","catch25_feature","mode_10",61.6,43.5,47.2
"UCLA_CNP","BP","catch25_feature","mode_5",61.6,52.9,53.2
"UCLA_CNP","BP","catch25_feature","mean",61.6,60,58.2
